customer_id,instrument_id,first_used,last_used,source
C00229,P03487,2025-01-01,2026-08-01,baseline
C00230,P01289,2025-01-01,2026-08-01,baseline
C00231,P08829,2025-01-01,2026-08-01,baseline
C00232,P06757,2025-01-01,2026-08-01,baseline
C00233,P00392,2025-01-01,2026-08-01,baseline
C00234,P04887,2025-01-01,2026-08-01,baseline
C00235,P05586,2025-01-01,2026-08-01,baseline
C00236,P08055,2025-01-01,2026-08-01,baseline
C00237,P00022,2025-01-01,2026-08-01,baseline
C00238,P06170,2025-01-01,2026-08-01,baseline
C00239,P03008,2025-01-01,2026-08-01,baseline
C00240,P04960,2025-01-01,2026-08-01,baseline
C00241,P02995,2025-01-01,2026-08-01,baseline
C00242,P03028,2025-01-01,2026-08-01,baseline
C00243,P07775,2025-01-01,2026-08-01,baseline
C00244,P05438,2025-01-01,2026-08-01,baseline
C00245,P01345,2025-01-01,2026-08-01,baseline
C00246,P02982,2025-01-01,2026-08-01,baseline
C00247,P05366,2025-01-01,2026-08-01,baseline
C00248,P01924,2025-01-01,2026-08-01,baseline
C00249,P01615,2025-01-01,2026-08-01,baseline
C00250,P00171,2025-01-01,2026-08-01,baseline
C00251,P08217,2025-01-01,2026-08-01,baseline
C00252,P02539,2025-01-01,2026-08-01,baseline
C00253,P05685,2025-01-01,2026-08-01,baseline
C00254,P01914,2025-01-01,2026-08-01,baseline
C00255,P06153,2025-01-01,2026-08-01,baseline
C00256,P06131,2025-01-01,2026-08-01,baseline
C00257,P03951,2025-01-01,2026-08-01,baseline
C00258,P00402,2025-01-01,2026-08-01,baseline
C00259,P01851,2025-01-01,2026-08-01,baseline
C00260,P09072,2025-01-01,2026-08-01,baseline
C00261,P02548,2025-01-01,2026-08-01,baseline
C00262,P08842,2025-01-01,2026-08-01,baseline
C00263,P03182,2025-01-01,2026-08-01,baseline
C00264,P02622,2025-01-01,2026-08-01,baseline
C00265,P08464,2025-01-01,2026-08-01,baseline
C00266,P09790,2025-01-01,2026-08-01,baseline
C00267,P09151,2025-01-01,2026-08-01,baseline
C00268,P05047,2025-01-01,2026-08-01,baseline
C00269,P07380,2025-01-01,2026-08-01,baseline
C00270,P01160,2025-01-01,2026-08-01,baseline
C00271,P08557,2025-01-01,2026-08-01,baseline
C00272,P05356,2025-01-01,2026-08-01,baseline
C00273,P01670,2025-01-01,2026-08-01,baseline
C00274,P07021,2025-01-01,2026-08-01,baseline
C00275,P07741,2025-01-01,2026-08-01,baseline
C00276,P00111,2025-01-01,2026-08-01,baseline
C00277,P04404,2025-01-01,2026-08-01,baseline
C00278,P09118,2025-01-01,2026-08-01,baseline
C00279,P06133,2025-01-01,2026-08-01,baseline
C00280,P09522,2025-01-01,2026-08-01,baseline
C00281,P04002,2025-01-01,2026-08-01,baseline
C00282,P01515,2025-01-01,2026-08-01,baseline
C00283,P08962,2025-01-01,2026-08-01,baseline
C00284,P08320,2025-01-01,2026-08-01,baseline
C00285,P04429,2025-01-01,2026-08-01,baseline
C00286,P04426,2025-01-01,2026-08-01,baseline
C00287,P02420,2025-01-01,2026-08-01,baseline
C00288,P07420,2025-01-01,2026-08-01,baseline
C00289,P00398,2025-01-01,2026-08-01,baseline
C00290,P07489,2025-01-01,2026-08-01,baseline
C00291,P00008,2025-01-01,2026-08-01,baseline
C00292,P06176,2025-01-01,2026-08-01,baseline
C00293,P08647,2025-01-01,2026-08-01,baseline
C00294,P08878,2025-01-01,2026-08-01,baseline
C00295,P03866,2025-01-01,2026-08-01,baseline
C00296,P08339,2025-01-01,2026-08-01,baseline
C00297,P07374,2025-01-01,2026-08-01,baseline
C00298,P04434,2025-01-01,2026-08-01,baseline
C00299,P01875,2025-01-01,2026-08-01,baseline
C00300,P02702,2025-01-01,2026-08-01,baseline
C00301,P01817,2025-01-01,2026-08-01,baseline
C00302,P08606,2025-01-01,2026-08-01,baseline
C00303,P05342,2025-01-01,2026-08-01,baseline
C00304,P05221,2025-01-01,2026-08-01,baseline
C00305,P01340,2025-01-01,2026-08-01,baseline
C00306,P05975,2025-01-01,2026-08-01,baseline
C00307,P06925,2025-01-01,2026-08-01,baseline
C00308,P04052,2025-01-01,2026-08-01,baseline
C00309,P07750,2025-01-01,2026-08-01,baseline
C00310,P04136,2025-01-01,2026-08-01,baseline
C00311,P06884,2025-01-01,2026-08-01,baseline
C00312,P01660,2025-01-01,2026-08-01,baseline
C00313,P00426,2025-01-01,2026-08-01,baseline
C00314,P00850,2025-01-01,2026-08-01,baseline
C00315,P03222,2025-01-01,2026-08-01,baseline
C00316,P02024,2025-01-01,2026-08-01,baseline
C00317,P06213,2025-01-01,2026-08-01,baseline
C00318,P10000,2025-01-01,2026-08-01,baseline
C00319,P05558,2025-01-01,2026-08-01,baseline
C00320,P03549,2025-01-01,2026-08-01,baseline
C00321,P07041,2025-01-01,2026-08-01,baseline
C00322,P06243,2025-01-01,2026-08-01,baseline
C00323,P05650,2025-01-01,2026-08-01,baseline
C00324,P02952,2025-01-01,2026-08-01,baseline
C00325,P00660,2025-01-01,2026-08-01,baseline
C00326,P06481,2025-01-01,2026-08-01,baseline
C00327,P03060,2025-01-01,2026-08-01,baseline
C00328,P04502,2025-01-01,2026-08-01,baseline
C00329,P08099,2025-01-01,2026-08-01,baseline
C00330,P08312,2025-01-01,2026-08-01,baseline
C00331,P07173,2025-01-01,2026-08-01,baseline
C00332,P04574,2025-01-01,2026-08-01,baseline
C00333,P00253,2025-01-01,2026-08-01,baseline
C00334,P07540,2025-01-01,2026-08-01,baseline
C00335,P07721,2025-01-01,2026-08-01,baseline
C00336,P05743,2025-01-01,2026-08-01,baseline
C00337,P04232,2025-01-01,2026-08-01,baseline
C00338,P05130,2025-01-01,2026-08-01,baseline
C00339,P03782,2025-01-01,2026-08-01,baseline
C00340,P08724,2025-01-01,2026-08-01,baseline
C00341,P09303,2025-01-01,2026-08-01,baseline
C00342,P06661,2025-01-01,2026-08-01,baseline
C00343,P00083,2025-01-01,2026-08-01,baseline
C00344,P00243,2025-01-01,2026-08-01,baseline
C00345,P04497,2025-01-01,2026-08-01,baseline
C00346,P03300,2025-01-01,2026-08-01,baseline
C00347,P06125,2025-01-01,2026-08-01,baseline
C00348,P06864,2025-01-01,2026-08-01,baseline
C00349,P04329,2025-01-01,2026-08-01,baseline
C00350,P03797,2025-01-01,2026-08-01,baseline
C00351,P02505,2025-01-01,2026-08-01,baseline
C00352,P04712,2025-01-01,2026-08-01,baseline
C00353,P00384,2025-01-01,2026-08-01,baseline
C00354,P05581,2025-01-01,2026-08-01,baseline
C00355,P06830,2025-01-01,2026-08-01,baseline
C00356,P07825,2025-01-01,2026-08-01,baseline
C00357,P09784,2025-01-01,2026-08-01,baseline
C00358,P09975,2025-01-01,2026-08-01,baseline
C00359,P04308,2025-01-01,2026-08-01,baseline
C00360,P09984,2025-01-01,2026-08-01,baseline
C00361,P02090,2025-01-01,2026-08-01,baseline
C00362,P06501,2025-01-01,2026-08-01,baseline
C00363,P03568,2025-01-01,2026-08-01,baseline
C00364,P08577,2025-01-01,2026-08-01,baseline
C00365,P07513,2025-01-01,2026-08-01,baseline
C00366,P05541,2025-01-01,2026-08-01,baseline
C00367,P05325,2025-01-01,2026-08-01,baseline
C00368,P08492,2025-01-01,2026-08-01,baseline
C00369,P03422,2025-01-01,2026-08-01,baseline
C00370,P07094,2025-01-01,2026-08-01,baseline
C00371,P03718,2025-01-01,2026-08-01,baseline
C00372,P01766,2025-01-01,2026-08-01,baseline
C00373,P08627,2025-01-01,2026-08-01,baseline
C00374,P04453,2025-01-01,2026-08-01,baseline
C00375,P06415,2025-01-01,2026-08-01,baseline
C00376,P09922,2025-01-01,2026-08-01,baseline
C00377,P06469,2025-01-01,2026-08-01,baseline
C00378,P07956,2025-01-01,2026-08-01,baseline
C00379,P04228,2025-01-01,2026-08-01,baseline
C00380,P05549,2025-01-01,2026-08-01,baseline
C00381,P01606,2025-01-01,2026-08-01,baseline
C00382,P02964,2025-01-01,2026-08-01,baseline
C00383,P02193,2025-01-01,2026-08-01,baseline
C00384,P05758,2025-01-01,2026-08-01,baseline
C00385,P03928,2025-01-01,2026-08-01,baseline
C00386,P07053,2025-01-01,2026-08-01,baseline
C00387,P09685,2025-01-01,2026-08-01,baseline
C00388,P01843,2025-01-01,2026-08-01,baseline
C00389,P03054,2025-01-01,2026-08-01,baseline
C00390,P02675,2025-01-01,2026-08-01,baseline
C00391,P01624,2025-01-01,2026-08-01,baseline
C00392,P02625,2025-01-01,2026-08-01,baseline
C00393,P05230,2025-01-01,2026-08-01,baseline
C00394,P03425,2025-01-01,2026-08-01,baseline
C00395,P04259,2025-01-01,2026-08-01,baseline
C00396,P04100,2025-01-01,2026-08-01,baseline
C00397,P04729,2025-01-01,2026-08-01,baseline
C00398,P04000,2025-01-01,2026-08-01,baseline
C00399,P01655,2025-01-01,2026-08-01,baseline
C00400,P01916,2025-01-01,2026-08-01,baseline
C00401,P08664,2025-01-01,2026-08-01,baseline
C00402,P06871,2025-01-01,2026-08-01,baseline
C00403,P03804,2025-01-01,2026-08-01,baseline
C00404,P06081,2025-01-01,2026-08-01,baseline
C00405,P00597,2025-01-01,2026-08-01,baseline
C00406,P07584,2025-01-01,2026-08-01,baseline
C00407,P09263,2025-01-01,2026-08-01,baseline
C00408,P03067,2025-01-01,2026-08-01,baseline
C00409,P01870,2025-01-01,2026-08-01,baseline
C00410,P03716,2025-01-01,2026-08-01,baseline
C00411,P06701,2025-01-01,2026-08-01,baseline
C00412,P06859,2025-01-01,2026-08-01,baseline
C00413,P09502,2025-01-01,2026-08-01,baseline
C00414,P01073,2025-01-01,2026-08-01,baseline
C00415,P05043,2025-01-01,2026-08-01,baseline
C00416,P04706,2025-01-01,2026-08-01,baseline
C00417,P04034,2025-01-01,2026-08-01,baseline
C00418,P02549,2025-01-01,2026-08-01,baseline
C00419,P06644,2025-01-01,2026-08-01,baseline
C00420,P03558,2025-01-01,2026-08-01,baseline
C00421,P08123,2025-01-01,2026-08-01,baseline
C00422,P08634,2025-01-01,2026-08-01,baseline
C00423,P02173,2025-01-01,2026-08-01,baseline
C00424,P09026,2025-01-01,2026-08-01,baseline
C00425,P01169,2025-01-01,2026-08-01,baseline
C00426,P00889,2025-01-01,2026-08-01,baseline
C00427,P09524,2025-01-01,2026-08-01,baseline
C00428,P07490,2025-01-01,2026-08-01,baseline
C00429,P09156,2025-01-01,2026-08-01,baseline
C00430,P04750,2025-01-01,2026-08-01,baseline
C00431,P08389,2025-01-01,2026-08-01,baseline
C00432,P03668,2025-01-01,2026-08-01,baseline
C00433,P09767,2025-01-01,2026-08-01,baseline
C00434,P04931,2025-01-01,2026-08-01,baseline
C00435,P05396,2025-01-01,2026-08-01,baseline
C00436,P00489,2025-01-01,2026-08-01,baseline
C00437,P03375,2025-01-01,2026-08-01,baseline
C00438,P01988,2025-01-01,2026-08-01,baseline
C00439,P08854,2025-01-01,2026-08-01,baseline
C00440,P04250,2025-01-01,2026-08-01,baseline
C00441,P01459,2025-01-01,2026-08-01,baseline
C00442,P09625,2025-01-01,2026-08-01,baseline
C00443,P01203,2025-01-01,2026-08-01,baseline
C00444,P07054,2025-01-01,2026-08-01,baseline
C00445,P09418,2025-01-01,2026-08-01,baseline
C00446,P05301,2025-01-01,2026-08-01,baseline
C00447,P09949,2025-01-01,2026-08-01,baseline
C00448,P01831,2025-01-01,2026-08-01,baseline
C00449,P01630,2025-01-01,2026-08-01,baseline
C00450,P03055,2025-01-01,2026-08-01,baseline
C00451,P01724,2025-01-01,2026-08-01,baseline
C00452,P00111,2025-01-01,2026-08-01,baseline
C00453,P04496,2025-01-01,2026-08-01,baseline
C00454,P00417,2025-01-01,2026-08-01,baseline
C00455,P07671,2025-01-01,2026-08-01,baseline
C00456,P01891,2025-01-01,2026-08-01,baseline
C00457,P09107,2025-01-01,2026-08-01,baseline
C00458,P00607,2025-01-01,2026-08-01,baseline
C00459,P08254,2025-01-01,2026-08-01,baseline
C00460,P01767,2025-01-01,2026-08-01,baseline
C00461,P02410,2025-01-01,2026-08-01,baseline
C00462,P09445,2025-01-01,2026-08-01,baseline
C00463,P00002,2025-01-01,2026-08-01,baseline
C00464,P04158,2025-01-01,2026-08-01,baseline
C00465,P08654,2025-01-01,2026-08-01,baseline
C00466,P01134,2025-01-01,2026-08-01,baseline
C00467,P04779,2025-01-01,2026-08-01,baseline
C00468,P00300,2025-01-01,2026-08-01,baseline
C00469,P06029,2025-01-01,2026-08-01,baseline
C00470,P06322,2025-01-01,2026-08-01,baseline
C00471,P01213,2025-01-01,2026-08-01,baseline
C00472,P03640,2025-01-01,2026-08-01,baseline
C00473,P03653,2025-01-01,2026-08-01,baseline
C00474,P03641,2025-01-01,2026-08-01,baseline
C00475,P09583,2025-01-01,2026-08-01,baseline
C00476,P02199,2025-01-01,2026-08-01,baseline
C00477,P02561,2025-01-01,2026-08-01,baseline
C00478,P09989,2025-01-01,2026-08-01,baseline
C00479,P04544,2025-01-01,2026-08-01,baseline
C00480,P07032,2025-01-01,2026-08-01,baseline
C00481,P07286,2025-01-01,2026-08-01,baseline
C00482,P03825,2025-01-01,2026-08-01,baseline
C00483,P06892,2025-01-01,2026-08-01,baseline
C00484,P07272,2025-01-01,2026-08-01,baseline
C00485,P00090,2025-01-01,2026-08-01,baseline
C00486,P02216,2025-01-01,2026-08-01,baseline
C00487,P03830,2025-01-01,2026-08-01,baseline
C00488,P08603,2025-01-01,2026-08-01,baseline
C00489,P02706,2025-01-01,2026-08-01,baseline
C00490,P00151,2025-01-01,2026-08-01,baseline
C00491,P06255,2025-01-01,2026-08-01,baseline
C00492,P05994,2025-01-01,2026-08-01,baseline
C00493,P02392,2025-01-01,2026-08-01,baseline
C00494,P05135,2025-01-01,2026-08-01,baseline
C00495,P09472,2025-01-01,2026-08-01,baseline
C00496,P03329,2025-01-01,2026-08-01,baseline
C00497,P05441,2025-01-01,2026-08-01,baseline
C00498,P04236,2025-01-01,2026-08-01,baseline
C00499,P09611,2025-01-01,2026-08-01,baseline
C00500,P00512,2025-01-01,2026-08-01,baseline
C00501,P00019,2025-01-01,2026-08-01,baseline
C00502,P02989,2025-01-01,2026-08-01,baseline
C00503,P03900,2025-01-01,2026-08-01,baseline
C00504,P02690,2025-01-01,2026-08-01,baseline
C00505,P03669,2025-01-01,2026-08-01,baseline
C00506,P06328,2025-01-01,2026-08-01,baseline
C00507,P06054,2025-01-01,2026-08-01,baseline
C00508,P03284,2025-01-01,2026-08-01,baseline
C00509,P00729,2025-01-01,2026-08-01,baseline
C00510,P09354,2025-01-01,2026-08-01,baseline
C00511,P00870,2025-01-01,2026-08-01,baseline
C00512,P04437,2025-01-01,2026-08-01,baseline
C00513,P06662,2025-01-01,2026-08-01,baseline
C00514,P06686,2025-01-01,2026-08-01,baseline
C00515,P05431,2025-01-01,2026-08-01,baseline
C00516,P07953,2025-01-01,2026-08-01,baseline
C00517,P03799,2025-01-01,2026-08-01,baseline
C00518,P02247,2025-01-01,2026-08-01,baseline
C00519,P03321,2025-01-01,2026-08-01,baseline
C00520,P02075,2025-01-01,2026-08-01,baseline
C00521,P04862,2025-01-01,2026-08-01,baseline
C00522,P00677,2025-01-01,2026-08-01,baseline
C00523,P02809,2025-01-01,2026-08-01,baseline
C00524,P08927,2025-01-01,2026-08-01,baseline
C00525,P07994,2025-01-01,2026-08-01,baseline
C00526,P04391,2025-01-01,2026-08-01,baseline
C00527,P00167,2025-01-01,2026-08-01,baseline
C00528,P05390,2025-01-01,2026-08-01,baseline
C00529,P09455,2025-01-01,2026-08-01,baseline
C00530,P09785,2025-01-01,2026-08-01,baseline
C00531,P07082,2025-01-01,2026-08-01,baseline
C00532,P06171,2025-01-01,2026-08-01,baseline
C00533,P02202,2025-01-01,2026-08-01,baseline
C00534,P06600,2025-01-01,2026-08-01,baseline
C00535,P08576,2025-01-01,2026-08-01,baseline
C00536,P08193,2025-01-01,2026-08-01,baseline
