ring_id,ring_type,size,intended_pattern,customer_ids
R0058,device_ring,5,burst,"['C03059', 'C07248', 'C09940', 'C03264', 'C06152']"
R0059,payment_ring,5,amount_pattern,"['C02072', 'C07799', 'C03357', 'C09281', 'C09364']"
R0060,multi_resource_ring,5,burst,"['C08030', 'C03775', 'C03348', 'C06044', 'C05291']"
R0061,payment_ring,3,slow_burn,"['C05758', 'C00837', 'C01008']"
R0062,device_ring,3,amount_pattern,"['C09170', 'C07338', 'C03734']"
R0063,payment_ring,5,burst,"['C02587', 'C05579', 'C05363', 'C04418', 'C05216']"
R0064,device_ring,3,burst,"['C09254', 'C02985', 'C00412']"
R0065,address_ring,6,amount_pattern,"['C09782', 'C01355', 'C09476', 'C07863', 'C05641', 'C04196']"
R0066,payment_ring,4,behavioral_similarity,"['C07932', 'C03408', 'C04860', 'C07374']"
R0067,address_ring,3,amount_pattern,"['C03285', 'C00967', 'C03272']"
R0068,multi_resource_ring,4,slow_burn,"['C06518', 'C03908', 'C03152', 'C09754']"
R0069,device_ring,4,slow_burn,"['C03407', 'C07743', 'C01580', 'C04612']"
R0070,device_ring,6,slow_burn,"['C09071', 'C07772', 'C08521', 'C02038', 'C01896', 'C01876']"
R0071,address_ring,4,burst,"['C05715', 'C07445', 'C00114', 'C04070']"
R0072,address_ring,2,behavioral_similarity,"['C00929', 'C06663']"
R0073,address_ring,6,amount_pattern,"['C05419', 'C02575', 'C02656', 'C02152', 'C07255', 'C02658']"
R0074,payment_ring,6,burst,"['C02819', 'C06590', 'C08853', 'C07275', 'C00936', 'C05861']"
R0075,payment_ring,6,slow_burn,"['C07060', 'C09925', 'C00809', 'C07842', 'C08784', 'C04239']"
R0076,address_ring,5,amount_pattern,"['C05185', 'C03066', 'C00408', 'C05472', 'C08696']"
R0077,device_ring,4,burst,"['C03452', 'C08813', 'C00162', 'C03554']"
R0078,multi_resource_ring,4,amount_pattern,"['C06989', 'C08763', 'C04298', 'C07007']"
R0079,multi_resource_ring,2,amount_pattern,"['C06728', 'C05023']"
R0080,device_ring,5,behavioral_similarity,"['C05557', 'C01447', 'C07015', 'C05343', 'C03584']"
R0081,device_ring,2,slow_burn,"['C03149', 'C03308']"
R0082,address_ring,5,behavioral_similarity,"['C09134', 'C03892', 'C07451', 'C00257', 'C01052']"
R0083,device_ring,5,behavioral_similarity,"['C00432', 'C05354', 'C05284', 'C02757', 'C08967']"
R0084,payment_ring,5,amount_pattern,"['C08474', 'C02363', 'C00020', 'C00462', 'C08950']"
R0085,device_ring,5,burst,"['C02078', 'C06550', 'C06049', 'C07116', 'C05059']"
R0086,address_ring,2,burst,"['C01859', 'C09911']"
R0087,payment_ring,5,behavioral_similarity,"['C07679', 'C04633', 'C03752', 'C04792', 'C08797']"
R0088,payment_ring,5,amount_pattern,"['C03559', 'C02178', 'C06725', 'C05394', 'C05849']"
R0089,device_ring,3,slow_burn,"['C07289', 'C08070', 'C02751']"
R0090,address_ring,5,slow_burn,"['C09226', 'C09452', 'C00485', 'C05604', 'C00423']"
R0091,device_ring,3,behavioral_similarity,"['C00450', 'C06466', 'C06226']"
R0092,device_ring,3,amount_pattern,"['C06950', 'C07642', 'C09671']"
R0093,address_ring,6,amount_pattern,"['C00042', 'C03135', 'C08208', 'C00631', 'C00859', 'C01204']"
R0094,device_ring,5,burst,"['C08755', 'C09931', 'C02303', 'C07263', 'C00919']"
R0095,device_ring,6,behavioral_similarity,"['C00497', 'C07089', 'C07898', 'C05828', 'C04097', 'C07742']"
R0096,multi_resource_ring,3,behavioral_similarity,"['C03151', 'C03992', 'C06428']"
R0097,payment_ring,2,burst,"['C09582', 'C02997']"
R0098,payment_ring,3,behavioral_similarity,"['C04303', 'C02574', 'C05684']"
R0099,device_ring,6,burst,"['C05889', 'C01233', 'C07299', 'C09311', 'C02813', 'C08319']"
R0100,multi_resource_ring,5,slow_burn,"['C02612', 'C04667', 'C04136', 'C03696', 'C00824']"
R0101,address_ring,4,amount_pattern,"['C06708', 'C01982', 'C05822', 'C09521']"
R0102,device_ring,3,burst,"['C07108', 'C05092', 'C02412']"
R0103,multi_resource_ring,2,behavioral_similarity,"['C02881', 'C01147']"
R0104,payment_ring,3,burst,"['C00403', 'C04367', 'C08500']"
R0105,multi_resource_ring,4,amount_pattern,"['C04165', 'C00833', 'C01946', 'C01757']"
R0106,device_ring,5,slow_burn,"['C01693', 'C07912', 'C08604', 'C00512', 'C01408']"
R0107,address_ring,4,slow_burn,"['C09412', 'C02651', 'C00018', 'C03203']"
R0108,multi_resource_ring,5,burst,"['C02626', 'C08172', 'C06495', 'C09704', 'C08430']"
R0109,payment_ring,4,amount_pattern,"['C02595', 'C07468', 'C06069', 'C00094']"
R0110,multi_resource_ring,4,burst,"['C06968', 'C04945', 'C04773', 'C03003']"
R0111,multi_resource_ring,6,burst,"['C09474', 'C03766', 'C08032', 'C05453', 'C03153', 'C08620']"
R0112,multi_resource_ring,5,behavioral_similarity,"['C05480', 'C08990', 'C03104', 'C02805', 'C04089']"
R0113,device_ring,5,amount_pattern,"['C07548', 'C08447', 'C00891', 'C01636', 'C00836']"
R0114,multi_resource_ring,3,behavioral_similarity,"['C01860', 'C09822', 'C05505']"
R0115,payment_ring,4,slow_burn,"['C06338', 'C02008', 'C07312', 'C01306']"
R0116,multi_resource_ring,3,slow_burn,"['C00676', 'C08502', 'C01715']"
R0117,multi_resource_ring,6,partial_abuse,"['C04534', 'C07282', 'C09306']"
R0118,multi_resource_ring,4,partial_abuse,"['C08631', 'C07304']"
R0119,multi_resource_ring,2,partial_abuse,['C03061']
R0120,multi_resource_ring,2,partial_abuse,['C02547']
R0121,multi_resource_ring,6,partial_abuse,"['C08733', 'C01531', 'C04243']"
R0122,multi_resource_ring,3,partial_abuse,['C04214']
R0123,multi_resource_ring,5,partial_abuse,"['C01927', 'C01007']"
R0124,multi_resource_ring,6,partial_abuse,"['C07731', 'C00369', 'C06737']"
R0125,multi_resource_ring,4,partial_abuse,"['C02543', 'C02333']"
R0126,multi_resource_ring,6,partial_abuse,"['C08687', 'C01043', 'C06786']"
R0127,multi_resource_ring,4,partial_abuse,"['C02589', 'C00874']"
R0128,multi_resource_ring,4,partial_abuse,"['C03343', 'C06014']"
R0129,multi_resource_ring,2,partial_abuse,['C05627']
R0130,multi_resource_ring,6,partial_abuse,"['C02899', 'C03429', 'C04620']"
R0131,multi_resource_ring,5,partial_abuse,"['C03944', 'C04309']"
R0132,multi_resource_ring,4,partial_abuse,"['C08882', 'C02255']"
R0133,multi_resource_ring,2,partial_abuse,['C09614']
R0134,multi_resource_ring,6,partial_abuse,"['C05234', 'C03744', 'C02504']"
R0135,multi_resource_ring,4,partial_abuse,"['C03346', 'C02910']"
R0136,multi_resource_ring,6,partial_abuse,"['C02654', 'C03109', 'C00720']"
R0137,multi_resource_ring,2,partial_abuse,['C02411']
R0138,multi_resource_ring,6,partial_abuse,"['C05578', 'C07652', 'C09365']"
R0139,multi_resource_ring,5,partial_abuse,"['C03379', 'C05531']"
