chargeback_id,txn_id,filed_at,reason_code,outcome
CB0004443,T0004443,2026-04-14 12:48:00,fraud,won
CB0004481,T0004481,2026-05-31 13:52:00,duplicate,won
CB0004484,T0004484,2026-06-08 02:32:00,duplicate,won
CB0004486,T0004486,2026-03-11 14:33:00,fraud,lost
CB0004538,T0004538,2026-01-26 20:01:00,product_not_received,won
CB0004545,T0004545,2026-02-24 00:11:00,credit_not_processed,won
CB0004616,T0004616,2026-06-21 05:25:00,fraud,pending
CB0004626,T0004626,2026-03-08 04:43:00,product_not_received,won
CB0004683,T0004683,2026-03-09 11:51:00,product_not_received,won
CB0004691,T0004691,2026-04-13 08:55:00,fraud,won
CB0004699,T0004699,2026-07-14 01:17:00,credit_not_processed,lost
CB0004709,T0004709,2026-04-22 00:03:00,duplicate,lost
CB0004840,T0004840,2026-06-02 04:21:00,product_not_received,won
CB0004873,T0004873,2026-06-21 05:27:00,credit_not_processed,won
CB0004914,T0004914,2026-02-18 18:06:00,fraud,pending
CB0004936,T0004936,2026-07-20 07:44:00,duplicate,won
CB0004966,T0004966,2026-06-13 23:20:00,duplicate,won
CB0004989,T0004989,2026-06-14 05:11:00,product_not_received,pending
CB0004993,T0004993,2026-04-24 00:52:00,product_not_received,won
CB0004994,T0004994,2026-02-01 16:40:00,duplicate,pending
CB0004999,T0004999,2026-03-15 12:30:00,fraud,won
CB0005041,T0005041,2026-01-16 17:25:00,fraud,won
CB0005094,T0005094,2026-01-17 23:10:00,product_not_received,pending
CB0005122,T0005122,2026-06-07 06:34:00,product_not_received,pending
CB0005143,T0005143,2026-04-23 21:18:00,credit_not_processed,lost
CB0005148,T0005148,2026-01-22 12:34:00,product_not_received,won
CB0005166,T0005166,2026-02-17 01:57:00,product_not_received,lost
CB0005216,T0005216,2026-04-16 00:55:00,credit_not_processed,won
CB0005321,T0005321,2026-01-20 17:53:00,duplicate,lost
CB0005395,T0005395,2026-05-09 05:20:00,duplicate,lost
CB0005417,T0005417,2026-03-22 00:20:00,product_not_received,pending
CB0005509,T0005509,2026-02-18 11:26:00,credit_not_processed,won
CB0005548,T0005548,2026-06-19 04:02:00,fraud,won
CB0005637,T0005637,2026-02-07 02:26:00,credit_not_processed,lost
CB0005639,T0005639,2026-04-05 20:41:00,product_not_received,lost
CB0005653,T0005653,2026-05-23 21:45:00,product_not_received,lost
CB0005807,T0005807,2026-05-20 11:49:00,fraud,pending
CB0005853,T0005853,2026-02-23 17:36:00,credit_not_processed,lost
CB0005969,T0005969,2026-04-05 16:21:00,duplicate,pending
CB0005989,T0005989,2026-07-25 01:26:00,credit_not_processed,won
CB0005997,T0005997,2026-07-29 16:41:00,duplicate,lost
CB0006045,T0006045,2026-05-14 00:08:00,duplicate,pending
CB0006046,T0006046,2026-04-29 00:58:00,credit_not_processed,won
CB0006119,T0006119,2026-02-05 07:45:00,duplicate,lost
CB0006125,T0006125,2026-07-19 08:10:00,fraud,won
CB0006167,T0006167,2026-07-19 13:34:00,credit_not_processed,won
CB0006207,T0006207,2026-07-22 09:18:00,product_not_received,lost
CB0006220,T0006220,2026-07-28 08:47:00,fraud,pending
CB0006277,T0006277,2026-02-07 05:20:00,product_not_received,won
CB0006310,T0006310,2026-02-10 16:34:00,duplicate,pending
CB0006311,T0006311,2026-04-15 00:45:00,credit_not_processed,lost
CB0006419,T0006419,2026-03-23 02:22:00,product_not_received,won
CB0006431,T0006431,2026-01-10 17:16:00,fraud,lost
CB0006537,T0006537,2026-02-14 18:02:00,product_not_received,won
CB0006542,T0006542,2026-07-29 02:35:00,credit_not_processed,won
CB0006562,T0006562,2026-05-29 00:42:00,fraud,pending
CB0006641,T0006641,2026-07-23 19:32:00,fraud,lost
CB0006644,T0006644,2026-04-20 05:58:00,credit_not_processed,lost
CB0006665,T0006665,2026-07-03 15:57:00,duplicate,lost
CB0006774,T0006774,2026-07-31 13:57:00,fraud,won
CB0006810,T0006810,2026-07-02 03:06:00,duplicate,won
CB0006813,T0006813,2026-03-20 02:21:00,duplicate,won
CB0006820,T0006820,2026-04-06 01:40:00,product_not_received,lost
CB0006828,T0006828,2026-07-09 09:52:00,fraud,pending
CB0006871,T0006871,2026-04-30 21:55:00,product_not_received,pending
CB0006899,T0006899,2026-07-31 05:48:00,product_not_received,won
CB0006902,T0006902,2026-03-09 05:48:00,duplicate,lost
CB0006940,T0006940,2026-03-20 17:54:00,fraud,won
CB0006957,T0006957,2026-06-16 09:59:00,credit_not_processed,lost
CB0006989,T0006989,2026-07-24 04:52:00,credit_not_processed,won
CB0007010,T0007010,2026-01-30 10:11:00,product_not_received,pending
CB0007014,T0007014,2026-03-26 02:39:00,product_not_received,won
CB0007027,T0007027,2026-07-25 07:05:00,credit_not_processed,won
CB0007050,T0007050,2026-06-30 21:45:00,fraud,lost
CB0007096,T0007096,2026-02-22 12:16:00,product_not_received,pending
CB0007111,T0007111,2026-05-24 00:37:00,credit_not_processed,lost
CB0007140,T0007140,2026-01-14 10:52:00,fraud,pending
CB0007175,T0007175,2026-07-14 22:15:00,credit_not_processed,lost
CB0007208,T0007208,2026-06-07 00:50:00,product_not_received,won
CB0007239,T0007239,2026-04-09 02:48:00,product_not_received,lost
CB0007345,T0007345,2026-05-19 06:17:00,credit_not_processed,lost
CB0007399,T0007399,2026-06-17 15:14:00,duplicate,pending
CB0007427,T0007427,2026-06-13 16:33:00,duplicate,lost
CB0007428,T0007428,2026-07-15 21:21:00,product_not_received,lost
CB0007455,T0007455,2026-01-23 08:17:00,product_not_received,won
CB0007484,T0007484,2026-02-18 17:03:00,credit_not_processed,won
CB0007492,T0007492,2026-02-12 07:42:00,fraud,lost
CB0007498,T0007498,2026-06-30 00:04:00,duplicate,pending
CB0007525,T0007525,2026-02-15 00:18:00,product_not_received,won
CB0007534,T0007534,2026-04-18 00:26:00,product_not_received,lost
CB0007537,T0007537,2026-01-05 07:29:00,duplicate,pending
CB0007569,T0007569,2026-05-29 00:21:00,duplicate,lost
CB0007618,T0007618,2026-07-27 00:44:00,credit_not_processed,won
CB0007641,T0007641,2026-03-25 00:07:00,product_not_received,pending
CB0007684,T0007684,2026-07-30 05:17:00,duplicate,pending
CB0007691,T0007691,2026-03-24 03:34:00,product_not_received,won
CB0007704,T0007704,2026-07-28 21:28:00,fraud,won
CB0007737,T0007737,2026-01-30 03:30:00,duplicate,pending
CB0007817,T0007817,2026-08-02 08:42:00,credit_not_processed,won
CB0007882,T0007882,2026-04-18 03:11:00,product_not_received,won
CB0007940,T0007940,2026-07-04 07:22:00,product_not_received,lost
CB0007950,T0007950,2026-07-10 11:47:00,duplicate,lost
CB0007991,T0007991,2026-06-02 16:50:00,product_not_received,won
CB0008051,T0008051,2026-03-26 13:34:00,fraud,won
CB0008059,T0008059,2026-08-02 09:09:00,fraud,won
CB0008101,T0008101,2026-04-04 08:56:00,duplicate,lost
CB0008174,T0008174,2026-02-18 16:57:00,duplicate,pending
CB0008242,T0008242,2026-03-28 15:23:00,product_not_received,lost
CB0008407,T0008407,2026-03-27 23:50:00,duplicate,lost
CB0008426,T0008426,2026-04-04 04:27:00,duplicate,pending
CB0008462,T0008462,2026-02-10 00:41:00,product_not_received,won
CB0008496,T0008496,2026-05-08 06:55:00,credit_not_processed,won
CB0008506,T0008506,2026-03-01 19:48:00,credit_not_processed,lost
CB0008544,T0008544,2026-06-26 15:58:00,product_not_received,won
CB0008578,T0008578,2026-05-22 17:32:00,credit_not_processed,lost
CB0008647,T0008647,2026-06-21 13:29:00,credit_not_processed,pending
CB0008649,T0008649,2026-05-03 18:54:00,fraud,lost
CB0008728,T0008728,2026-04-17 16:20:00,fraud,lost
CB0008746,T0008746,2026-04-03 14:20:00,credit_not_processed,lost
CB0008811,T0008811,2026-07-18 07:52:00,product_not_received,won
CB0008828,T0008828,2026-02-28 22:18:00,product_not_received,won
CB0008888,T0008888,2026-03-15 09:42:00,product_not_received,won
CB0008900,T0008900,2026-04-20 00:39:00,duplicate,lost
CB0008982,T0008982,2026-05-01 01:47:00,duplicate,lost
CB0009044,T0009044,2026-03-11 10:45:00,credit_not_processed,pending
CB0009056,T0009056,2026-06-27 18:11:00,credit_not_processed,lost
CB0009096,T0009096,2026-05-18 09:50:00,fraud,lost
CB0009097,T0009097,2026-04-13 20:55:00,duplicate,won
CB0009131,T0009131,2026-07-28 02:39:00,fraud,pending
CB0009133,T0009133,2026-03-07 07:48:00,credit_not_processed,pending
CB0009139,T0009139,2026-05-03 03:37:00,fraud,pending
CB0009142,T0009142,2026-01-22 20:06:00,product_not_received,lost
CB0009203,T0009203,2026-07-24 03:29:00,duplicate,won
CB0009462,T0009462,2026-04-02 02:00:00,duplicate,pending
CB0009487,T0009487,2026-03-25 22:26:00,duplicate,won
CB0009518,T0009518,2026-07-17 03:16:00,duplicate,won
CB0009534,T0009534,2026-06-17 12:19:00,credit_not_processed,lost
CB0009552,T0009552,2026-02-08 04:32:00,duplicate,lost
CB0009579,T0009579,2026-05-12 04:14:00,product_not_received,won
CB0009672,T0009672,2026-04-08 00:27:00,product_not_received,lost
CB0009674,T0009674,2026-07-24 15:13:00,product_not_received,lost
CB0009677,T0009677,2026-07-25 03:22:00,product_not_received,pending
CB0009687,T0009687,2026-04-13 01:19:00,product_not_received,lost
CB0009813,T0009813,2026-05-11 14:30:00,duplicate,pending
CB0009825,T0009825,2026-02-02 13:40:00,fraud,lost
CB0009940,T0009940,2026-01-29 09:19:00,fraud,pending
CB0009955,T0009955,2026-02-19 17:12:00,credit_not_processed,lost
CB0009962,T0009962,2026-07-20 11:10:00,credit_not_processed,lost
CB0010002,T0010002,2026-04-29 08:12:00,duplicate,lost
CB0010007,T0010007,2026-05-11 16:50:00,product_not_received,won
CB0010015,T0010015,2026-05-10 18:44:00,credit_not_processed,won
CB0010040,T0010040,2026-03-17 07:15:00,fraud,lost
CB0010129,T0010129,2026-05-28 11:23:00,credit_not_processed,won
CB0010142,T0010142,2026-04-24 00:14:00,credit_not_processed,lost
CB0010175,T0010175,2026-02-04 12:53:00,duplicate,pending
CB0010217,T0010217,2026-03-27 00:36:00,fraud,won
CB0010300,T0010300,2026-05-11 01:30:00,fraud,lost
CB0010348,T0010348,2026-05-27 16:08:00,fraud,lost
CB0010385,T0010385,2026-07-26 01:20:00,product_not_received,won
CB0010425,T0010425,2026-05-17 17:32:00,duplicate,pending
CB0010428,T0010428,2026-05-02 00:28:00,duplicate,pending
CB0010534,T0010534,2026-07-21 10:15:00,fraud,pending
CB0010615,T0010615,2026-06-29 18:20:00,fraud,pending
CB0010626,T0010626,2026-02-24 11:03:00,credit_not_processed,pending
CB0010640,T0010640,2026-02-11 11:36:00,credit_not_processed,pending
CB0010678,T0010678,2026-01-24 15:18:00,product_not_received,pending
CB0010698,T0010698,2026-05-26 21:25:00,fraud,won
CB0010724,T0010724,2026-06-17 16:27:00,credit_not_processed,won
CB0010731,T0010731,2026-07-05 04:24:00,product_not_received,lost
CB0010750,T0010750,2026-07-15 12:16:00,duplicate,pending
CB0010767,T0010767,2026-05-03 02:22:00,fraud,pending
CB0010777,T0010777,2026-07-27 14:52:00,duplicate,won
CB0010802,T0010802,2026-06-20 01:21:00,credit_not_processed,pending
CB0010814,T0010814,2026-02-04 10:03:00,fraud,pending
CB0010826,T0010826,2026-02-26 08:20:00,duplicate,pending
CB0010836,T0010836,2026-06-16 00:06:00,product_not_received,lost
CB0010866,T0010866,2026-03-01 21:53:00,credit_not_processed,lost
CB0010920,T0010920,2026-05-24 03:55:00,fraud,won
CB0010937,T0010937,2026-02-10 06:03:00,credit_not_processed,won
CB0010965,T0010965,2026-06-13 03:40:00,duplicate,lost
CB0010968,T0010968,2026-07-23 14:04:00,duplicate,won
CB0010969,T0010969,2026-07-18 07:12:00,duplicate,won
CB0010989,T0010989,2026-01-28 13:45:00,product_not_received,pending
CB0010999,T0010999,2026-04-11 07:43:00,product_not_received,lost
CB0011048,T0011048,2026-08-01 06:55:00,product_not_received,won
CB0011069,T0011069,2026-06-28 15:07:00,product_not_received,won
CB0011076,T0011076,2026-03-24 04:57:00,fraud,pending
CB0011089,T0011089,2026-05-12 10:21:00,fraud,lost
CB0011102,T0011102,2026-05-15 11:19:00,duplicate,pending
CB0011117,T0011117,2026-05-29 04:25:00,fraud,pending
CB0011134,T0011134,2026-06-23 10:47:00,credit_not_processed,pending
CB0011136,T0011136,2026-04-05 00:40:00,fraud,pending
CB0011169,T0011169,2026-01-21 15:29:00,credit_not_processed,won
CB0011227,T0011227,2026-03-04 00:39:00,credit_not_processed,won
CB0011233,T0011233,2026-07-19 20:11:00,fraud,lost
CB0011245,T0011245,2026-03-18 03:31:00,product_not_received,lost
CB0011257,T0011257,2026-06-12 01:58:00,duplicate,pending
CB0011317,T0011317,2026-04-10 08:00:00,product_not_received,pending
CB0011353,T0011353,2026-04-19 09:49:00,duplicate,won
CB0011358,T0011358,2026-06-24 10:06:00,fraud,pending
CB0011437,T0011437,2026-05-23 17:25:00,fraud,pending
CB0011490,T0011490,2026-03-09 16:16:00,duplicate,lost
CB0011567,T0011567,2026-06-18 05:24:00,duplicate,pending
CB0011636,T0011636,2026-02-11 19:16:00,duplicate,lost
CB0011660,T0011660,2026-07-02 21:28:00,product_not_received,lost
CB0011698,T0011698,2026-03-06 13:19:00,credit_not_processed,pending
CB0011762,T0011762,2026-04-30 14:16:00,duplicate,lost
CB0011776,T0011776,2026-02-15 11:44:00,credit_not_processed,won
CB0011817,T0011817,2026-02-08 15:40:00,duplicate,pending
CB0011920,T0011920,2026-03-16 10:50:00,credit_not_processed,won
CB0011923,T0011923,2026-06-14 00:43:00,duplicate,pending
CB0011948,T0011948,2026-07-28 02:31:00,credit_not_processed,won
CB0011949,T0011949,2026-04-11 22:07:00,credit_not_processed,lost
CB0011974,T0011974,2026-06-10 00:06:00,duplicate,won
CB0012021,T0012021,2026-06-12 10:22:00,credit_not_processed,pending
CB0012044,T0012044,2026-04-07 00:36:00,product_not_received,won
CB0012079,T0012079,2026-01-22 05:29:00,credit_not_processed,won
CB0012084,T0012084,2026-06-26 21:07:00,fraud,pending
CB0012118,T0012118,2026-07-29 21:37:00,duplicate,pending
CB0012130,T0012130,2026-05-21 00:18:00,duplicate,won
CB0012267,T0012267,2026-05-03 21:39:00,credit_not_processed,lost
CB0012327,T0012327,2026-04-16 10:09:00,credit_not_processed,pending
CB0012463,T0012463,2026-06-12 18:11:00,fraud,lost
CB0012481,T0012481,2026-01-12 15:52:00,credit_not_processed,won
CB0012552,T0012552,2026-04-05 20:09:00,product_not_received,pending
CB0012610,T0012610,2026-01-17 16:32:00,credit_not_processed,pending
CB0012631,T0012631,2026-05-18 23:07:00,credit_not_processed,lost
CB0012670,T0012670,2026-05-24 11:36:00,fraud,pending
CB0012725,T0012725,2026-04-28 03:40:00,product_not_received,lost
CB0012799,T0012799,2026-02-24 07:17:00,duplicate,pending
CB0012801,T0012801,2026-06-18 18:03:00,fraud,lost
CB0012810,T0012810,2026-01-18 07:56:00,credit_not_processed,lost
CB0012918,T0012918,2026-06-19 00:04:00,duplicate,pending
CB0012999,T0012999,2026-04-22 20:08:00,duplicate,won
CB0013036,T0013036,2026-01-10 17:44:00,duplicate,pending
CB0013055,T0013055,2026-05-04 14:44:00,duplicate,won
CB0013111,T0013111,2026-04-09 03:37:00,credit_not_processed,pending
CB0013157,T0013157,2026-02-06 21:28:00,product_not_received,pending
CB0013175,T0013175,2026-02-18 19:55:00,credit_not_processed,lost
CB0013195,T0013195,2026-03-09 08:41:00,fraud,lost
CB0013209,T0013209,2026-06-07 20:33:00,product_not_received,pending
CB0013217,T0013217,2026-06-21 07:11:00,duplicate,won
CB0013337,T0013337,2026-03-28 11:39:00,duplicate,won
CB0013343,T0013343,2026-05-25 16:47:00,duplicate,lost
CB0013345,T0013345,2026-07-03 04:11:00,product_not_received,pending
CB0013347,T0013347,2026-07-10 19:08:00,duplicate,won
CB0013350,T0013350,2026-04-08 14:20:00,product_not_received,won
CB0013375,T0013375,2026-05-10 17:13:00,credit_not_processed,won
CB0013389,T0013389,2026-04-16 20:48:00,product_not_received,lost
CB0013489,T0013489,2026-05-27 13:30:00,duplicate,pending
CB0013539,T0013539,2026-05-08 11:00:00,credit_not_processed,lost
CB0013568,T0013568,2026-06-03 00:49:00,product_not_received,lost
CB0013602,T0013602,2026-05-23 00:52:00,product_not_received,lost
CB0013648,T0013648,2026-06-15 00:43:00,product_not_received,pending
CB0013703,T0013703,2026-07-21 21:58:00,duplicate,won
CB0013708,T0013708,2026-08-01 12:41:00,fraud,pending
CB0013741,T0013741,2026-02-10 13:49:00,duplicate,won
CB0013749,T0013749,2026-01-12 11:52:00,fraud,pending
CB0013832,T0013832,2026-06-02 11:49:00,product_not_received,pending
CB0013844,T0013844,2026-03-13 05:48:00,fraud,lost
CB0013860,T0013860,2026-02-13 09:31:00,product_not_received,won
CB0013891,T0013891,2026-05-11 02:19:00,credit_not_processed,pending
CB0013940,T0013940,2026-03-07 16:30:00,duplicate,won
CB0013962,T0013962,2026-04-25 00:44:00,fraud,won
CB0013970,T0013970,2026-04-04 04:21:00,duplicate,won
CB0014021,T0014021,2026-03-15 00:56:00,duplicate,won
CB0014089,T0014089,2026-04-11 07:06:00,duplicate,pending
CB0014128,T0014128,2026-03-12 09:48:00,credit_not_processed,won
CB0014142,T0014142,2026-01-17 01:49:00,credit_not_processed,pending
CB0014143,T0014143,2026-05-07 11:32:00,fraud,lost
CB0014170,T0014170,2026-03-26 09:42:00,product_not_received,pending
CB0014180,T0014180,2026-04-01 05:43:00,credit_not_processed,lost
CB0014188,T0014188,2026-05-31 00:06:00,fraud,won
CB0014197,T0014197,2026-05-18 00:18:00,fraud,lost
CB0014254,T0014254,2026-01-11 04:27:00,duplicate,pending
CB0014272,T0014272,2026-05-12 17:01:00,credit_not_processed,lost
CB0014273,T0014273,2026-01-15 20:19:00,product_not_received,lost
CB0014333,T0014333,2026-03-23 03:24:00,product_not_received,pending
CB0014366,T0014366,2026-07-10 16:50:00,fraud,pending
CB0014527,T0014527,2026-05-27 17:19:00,product_not_received,won
CB0014542,T0014542,2026-02-13 11:43:00,fraud,won
CB0014547,T0014547,2026-07-07 08:34:00,duplicate,pending
CB0014558,T0014558,2026-04-29 07:08:00,fraud,pending
CB0014573,T0014573,2026-06-07 05:55:00,credit_not_processed,lost
CB0014618,T0014618,2026-03-03 20:47:00,duplicate,pending
CB0014636,T0014636,2026-02-13 22:06:00,product_not_received,won
CB0014726,T0014726,2026-01-31 10:00:00,product_not_received,won
CB0014729,T0014729,2026-03-28 04:51:00,product_not_received,won
CB0014745,T0014745,2026-03-11 05:27:00,product_not_received,pending
CB0014828,T0014828,2026-02-09 15:32:00,duplicate,lost
CB0014865,T0014865,2026-06-09 03:26:00,product_not_received,pending
CB0014890,T0014890,2026-05-09 22:54:00,fraud,pending
CB0014902,T0014902,2026-03-30 13:49:00,product_not_received,won
CB0014907,T0014907,2026-01-11 00:14:00,fraud,pending
CB0014965,T0014965,2026-07-16 22:52:00,credit_not_processed,won
CB0015030,T0015030,2026-07-04 08:28:00,fraud,lost
CB0015038,T0015038,2026-07-16 23:22:00,duplicate,pending
CB0015044,T0015044,2026-03-30 20:14:00,fraud,won
CB0015067,T0015067,2026-07-06 20:20:00,product_not_received,lost
CB0015078,T0015078,2026-03-19 22:40:00,duplicate,pending
CB0015105,T0015105,2026-04-10 00:05:00,fraud,won
CB0015111,T0015111,2026-04-02 22:17:00,credit_not_processed,lost
CB0015131,T0015131,2026-03-30 14:44:00,duplicate,lost
CB0015154,T0015154,2026-01-31 16:16:00,fraud,pending
CB0015160,T0015160,2026-04-26 11:10:00,credit_not_processed,won
CB0015173,T0015173,2026-08-02 02:00:00,fraud,lost
CB0015183,T0015183,2026-01-19 08:31:00,fraud,pending
CB0015186,T0015186,2026-02-26 00:49:00,duplicate,pending
CB0015272,T0015272,2026-05-18 03:50:00,duplicate,pending
CB0015346,T0015346,2026-07-13 04:28:00,fraud,pending
CB0015352,T0015352,2026-06-26 11:31:00,duplicate,lost
CB0015408,T0015408,2026-06-16 19:51:00,duplicate,pending
CB0015441,T0015441,2026-02-02 12:12:00,fraud,pending
CB0015453,T0015453,2026-05-21 20:53:00,fraud,lost
CB0015475,T0015475,2026-06-13 11:46:00,duplicate,pending
