txn_id,customer_id,device_id,payment_instrument_id,amount,timestamp,merchant_category,status,ground_truth_behavior
T0000099,C01401,D03324,P07958,9081.62,2026-05-28 09:46:00,electronics,success,NORMAL
T0000100,C08605,D04960,P09262,1661.79,2026-03-31 02:36:00,travel,success,NORMAL
T0000101,C04902,D00184,P00641,849.02,2026-05-06 15:24:00,fashion,success,NORMAL
T0000102,C04090,D02341,P03770,254.98,2026-03-12 16:49:00,electronics,success,NORMAL
T0000103,C09348,D02314,P01744,4702.16,2026-07-04 09:17:00,grocery,success,NORMAL
T0000104,C05356,D02665,P07503,10970.79,2026-03-18 06:21:00,grocery,success,NORMAL
T0000105,C09015,D02255,P00194,1380.58,2026-07-27 06:45:00,travel,success,NORMAL
T0000106,C09433,D04468,P01616,317.57,2026-05-01 21:51:00,grocery,success,NORMAL
T0000107,C03886,D00873,P02097,1587.13,2026-07-23 23:51:00,travel,success,NORMAL
T0000108,C05857,D02163,P02228,504.1,2026-07-17 02:30:00,fashion,success,NORMAL
T0000109,C00708,D03734,P05381,4983.56,2026-07-15 12:18:00,travel,success,NORMAL
T0000110,C01141,D01468,P01713,1110.01,2026-05-11 07:21:00,grocery,success,NORMAL
T0000111,C09369,D04164,P06263,4394.32,2026-06-17 10:59:00,fashion,success,NORMAL
T0000112,C08606,D03609,P08320,452.98,2026-02-02 05:01:00,travel,success,NORMAL
T0000113,C02796,D03664,P00739,2827.78,2026-01-19 07:12:00,fashion,success,NORMAL
T0000114,C04631,D03517,P03980,9223.47,2026-04-15 21:35:00,fashion,success,NORMAL
T0000115,C05616,D00011,P03595,470.56,2026-07-09 03:12:00,fashion,success,NORMAL
T0000116,C09747,D02701,P04197,5456.99,2026-06-16 13:11:00,fashion,success,NORMAL
T0000117,C06390,D00161,P08225,300.59,2026-01-01 15:13:00,fashion,success,NORMAL
T0000118,C05268,D00814,P03443,897.01,2026-03-10 09:02:00,food,success,NORMAL
T0000119,C01960,D02500,P03053,536.14,2026-05-17 01:22:00,food,success,NORMAL
T0000120,C01098,D02211,P08082,1138.84,2026-07-17 12:23:00,travel,success,NORMAL
T0000121,C07025,D00248,P04492,1142.2,2026-07-23 22:49:00,electronics,success,NORMAL
T0000122,C09156,D04327,P02341,10038.27,2026-02-03 01:15:00,electronics,success,NORMAL
T0000123,C08904,D00745,P09684,3499.0,2026-06-07 03:06:00,grocery,success,ABUSIVE
T0000124,C04351,D03098,P06821,456.38,2026-02-08 03:34:00,travel,success,NORMAL
T0000125,C00230,D04608,P06224,702.0,2026-03-03 00:34:00,electronics,success,NORMAL
T0000126,C03858,D02350,P02102,2307.32,2026-03-12 09:48:00,fashion,success,NORMAL
T0000127,C02413,D00465,P01738,321.54,2026-04-13 17:42:00,electronics,success,NORMAL
T0000128,C07472,D03326,P05444,5328.3,2026-04-01 01:30:00,electronics,success,NORMAL
T0000129,C03922,D01683,P06110,495.3,2026-06-30 22:07:00,food,success,NORMAL
T0000130,C03335,D04029,P07022,572.53,2026-07-22 23:29:00,fashion,success,NORMAL
T0000131,C08219,D00905,P09080,865.58,2026-03-14 04:18:00,grocery,success,NORMAL
T0000132,C04593,D02267,P08617,4535.17,2026-06-11 17:24:00,travel,success,NORMAL
T0000133,C06170,D02698,P01021,333.05,2026-01-31 17:51:00,electronics,success,NORMAL
T0000134,C05123,D03520,P02447,473.73,2026-03-13 00:46:00,food,success,NORMAL
T0000135,C03853,D02470,P00479,2224.01,2026-03-23 13:48:00,electronics,success,NORMAL
T0000136,C09388,D02681,P04717,8983.82,2026-06-24 20:59:00,travel,success,NORMAL
T0000137,C07300,D01581,P09923,338.1,2026-01-21 06:14:00,grocery,success,NORMAL
T0000138,C04331,D04179,P08530,559.75,2026-06-05 06:55:00,grocery,success,NORMAL
T0000139,C05798,D03380,P03986,8738.25,2026-01-12 17:19:00,fashion,success,NORMAL
T0000140,C03198,D04358,P09701,5717.61,2026-07-23 14:31:00,fashion,success,NORMAL
T0000141,C03488,D04264,P07946,7869.55,2026-03-03 22:21:00,travel,success,NORMAL
T0000142,C02917,D02870,P02453,10289.25,2026-04-19 00:00:00,travel,success,NORMAL
T0000143,C03580,D01275,P05827,7290.61,2026-02-03 09:49:00,electronics,success,NORMAL
T0000144,C03137,D03082,P03052,10290.23,2026-05-29 17:14:00,food,success,NORMAL
T0000145,C05348,D02230,P01217,332.77,2026-07-15 19:55:00,fashion,success,NORMAL
T0000146,C03329,D03985,P09823,995.12,2026-04-10 22:06:00,travel,success,NORMAL
T0000147,C04506,D01109,P05343,2730.82,2026-06-07 18:56:00,travel,success,NORMAL
T0000148,C01964,D03286,P09209,730.08,2026-07-20 18:16:00,food,success,NORMAL
T0000149,C03780,D01330,P07610,2400.34,2026-05-22 19:03:00,travel,success,NORMAL
T0000150,C02815,D01009,P02754,1069.03,2026-07-26 14:32:00,grocery,success,NORMAL
T0000151,C04639,D03018,P09767,1424.49,2026-07-26 05:10:00,food,success,NORMAL
T0000152,C03703,D02895,P03990,2459.16,2026-05-11 23:55:00,food,success,NORMAL
T0000153,C01845,D02070,P04138,2642.65,2026-03-13 03:48:00,grocery,success,NORMAL
T0000154,C03604,D02501,P03738,280.91,2026-04-02 22:04:00,fashion,success,NORMAL
T0000155,C05156,D03572,P06037,8657.79,2026-02-07 14:32:00,fashion,success,NORMAL
T0000156,C06762,D01398,P05882,9497.04,2026-04-10 05:02:00,grocery,success,NORMAL
T0000157,C01480,D00035,P05280,8761.31,2026-05-22 17:11:00,electronics,success,NORMAL
T0000158,C09793,D04903,P01047,8403.09,2026-03-15 09:07:00,fashion,success,NORMAL
T0000159,C02173,D02049,P08719,9956.4,2026-04-30 09:11:00,food,success,NORMAL
T0000160,C04193,D04403,P00938,5699.56,2026-06-21 17:31:00,electronics,success,NORMAL
T0000161,C04370,D04784,P05766,742.03,2026-06-15 11:47:00,food,success,NORMAL
T0000162,C01997,D00347,P01361,2620.6,2026-07-26 09:35:00,fashion,success,NORMAL
T0000163,C07781,D02936,P05116,524.58,2026-05-22 18:05:00,electronics,success,NORMAL
T0000164,C07193,D01831,P09864,427.03,2026-07-23 17:49:00,grocery,success,NORMAL
T0000165,C02213,D02477,P08144,1442.98,2026-07-12 12:45:00,fashion,success,NORMAL
T0000166,C05758,D00813,P09543,4844.93,2026-06-06 12:27:00,fashion,success,ABUSIVE
T0000167,C00112,D02828,P03838,797.65,2026-05-09 16:43:00,fashion,success,NORMAL
T0000168,C06563,D03253,P02707,861.34,2026-05-12 13:15:00,electronics,success,NORMAL
T0000169,C09336,D00621,P08845,758.53,2026-05-02 03:06:00,fashion,success,NORMAL
T0000170,C05564,D04915,P07570,2220.19,2026-02-25 12:19:00,travel,success,NORMAL
T0000171,C03423,D00665,P09869,536.13,2026-04-28 01:49:00,travel,success,NORMAL
T0000172,C04600,D00309,P03593,5569.49,2026-07-01 00:07:00,fashion,success,NORMAL
T0000173,C01428,D04857,P00515,755.56,2026-07-12 13:18:00,fashion,success,NORMAL
T0000174,C06706,D01696,P06738,976.19,2026-04-06 16:28:00,grocery,success,NORMAL
T0000175,C07214,D02919,P07336,5697.68,2026-01-13 08:27:00,electronics,success,NORMAL
T0000176,C02815,D04016,P07136,454.55,2026-04-14 15:31:00,fashion,success,NORMAL
T0000177,C09147,D00089,P05146,1052.92,2026-06-20 12:13:00,food,success,NORMAL
T0000178,C08821,D00543,P08319,1515.16,2026-06-21 11:10:00,grocery,success,NORMAL
T0000179,C03682,D04392,P04340,1799.0,2026-04-24 17:51:00,fashion,success,ABUSIVE
T0000180,C05015,D04773,P02178,821.28,2026-07-20 12:54:00,grocery,success,NORMAL
T0000181,C08010,D00935,P09306,1012.24,2026-02-25 01:54:00,food,success,NORMAL
T0000182,C02231,D02126,P08455,2557.14,2026-06-08 17:48:00,fashion,success,NORMAL
T0000183,C02308,D03939,P00394,8692.5,2026-07-08 03:58:00,food,success,NORMAL
T0000184,C03367,D01352,P04223,510.35,2026-03-13 13:09:00,electronics,success,NORMAL
T0000185,C09075,D03557,P08954,2205.67,2026-07-13 03:36:00,grocery,success,NORMAL
T0000186,C05917,D00281,P01414,516.72,2026-03-25 00:13:00,travel,success,NORMAL
T0000187,C06469,D04930,P02241,1021.97,2026-04-19 13:58:00,food,success,NORMAL
T0000188,C09531,D04591,P02570,971.93,2026-07-12 04:14:00,travel,success,NORMAL
T0000189,C00934,D04501,P08305,11448.52,2026-02-02 22:11:00,fashion,success,NORMAL
T0000190,C00797,D02897,P02568,1002.52,2026-02-10 10:02:00,electronics,success,NORMAL
T0000191,C06097,D03434,P07533,1491.39,2026-04-14 04:48:00,travel,success,NORMAL
T0000192,C00728,D04085,P08826,8403.76,2026-02-19 15:42:00,electronics,success,NORMAL
T0000193,C04196,D01489,P07475,2499.0,2026-06-27 22:07:00,travel,success,ABUSIVE
T0000194,C03494,D01501,P00114,8972.31,2026-01-28 14:18:00,fashion,success,NORMAL
T0000195,C08121,D02772,P08752,254.61,2026-02-07 20:48:00,electronics,success,NORMAL
T0000196,C08144,D01351,P00248,10166.71,2026-01-15 02:38:00,travel,success,NORMAL
T0000197,C09761,D02733,P06743,6887.36,2026-07-23 21:04:00,grocery,success,NORMAL
T0000198,C09997,D04194,P01889,1552.7,2026-01-13 21:59:00,electronics,success,NORMAL
T0000199,C09007,D03679,P00977,451.34,2026-04-18 22:10:00,travel,success,NORMAL
T0000200,C08926,D00953,P02712,10582.15,2026-02-18 22:40:00,electronics,success,NORMAL
T0000201,C09781,D04571,P01212,331.22,2026-03-03 10:56:00,travel,success,NORMAL
T0000202,C01027,D03600,P01119,2872.49,2026-06-18 16:57:00,travel,success,NORMAL
T0000203,C01231,D00580,P01104,811.38,2026-05-06 21:32:00,fashion,success,NORMAL
T0000204,C01808,D03803,P06989,273.85,2026-03-21 00:57:00,electronics,success,ABUSIVE
T0000205,C00895,D04108,P03366,320.06,2026-06-29 23:22:00,food,success,NORMAL
T0000206,C04622,D04943,P02002,2545.68,2026-07-13 18:50:00,grocery,success,NORMAL
T0000207,C04279,D00306,P08253,9475.68,2026-04-18 22:49:00,electronics,success,NORMAL
T0000208,C04089,D03355,P07273,1599.0,2026-02-09 19:58:00,electronics,success,ABUSIVE
T0000209,C02176,D03504,P03454,271.1,2026-06-03 19:24:00,grocery,success,NORMAL
T0000210,C01776,D02396,P03565,733.91,2026-01-25 14:28:00,travel,success,ABUSIVE
T0000211,C07389,D04738,P00234,2628.32,2026-05-09 13:56:00,electronics,success,NORMAL
T0000212,C06858,D02721,P01653,728.21,2026-01-20 11:17:00,travel,success,NORMAL
T0000213,C00110,D00919,P04398,550.02,2026-05-25 23:39:00,food,success,NORMAL
T0000214,C07371,D04043,P02697,901.03,2026-02-12 14:59:00,grocery,success,NORMAL
T0000215,C09408,D01141,P04806,9996.61,2026-06-24 22:50:00,fashion,success,NORMAL
T0000216,C02424,D03751,P00699,566.28,2026-03-25 12:24:00,food,success,NORMAL
T0000217,C08050,D03470,P01627,858.75,2026-06-28 19:01:00,electronics,success,NORMAL
T0000218,C02092,D00203,P00070,4654.02,2026-02-11 23:27:00,travel,success,NORMAL
T0000219,C02520,D04965,P09409,457.59,2026-04-09 01:39:00,food,success,NORMAL
T0000220,C03426,D01138,P01634,1545.95,2026-02-24 00:10:00,travel,success,NORMAL
T0000221,C07422,D04001,P09737,909.15,2026-04-10 16:26:00,electronics,success,NORMAL
T0000222,C08818,D04480,P06463,4421.3,2026-03-01 08:14:00,food,success,NORMAL
T0000223,C08565,D04201,P06689,531.26,2026-05-13 06:41:00,travel,success,NORMAL
T0000224,C05508,D01535,P04592,916.1,2026-07-02 12:32:00,grocery,success,NORMAL
T0000225,C05836,D01091,P01193,4363.58,2026-07-19 13:12:00,fashion,success,NORMAL
T0000226,C03851,D04403,P04620,2715.58,2026-05-04 23:31:00,grocery,success,NORMAL
T0000227,C08705,D02178,P01265,893.08,2026-06-22 14:46:00,travel,success,NORMAL
T0000228,C04112,D01319,P01396,2499.0,2026-04-18 18:28:00,travel,success,ABUSIVE
T0000229,C09665,D01190,P05919,1668.83,2026-04-04 05:25:00,travel,success,NORMAL
T0000230,C03315,D00857,P06676,686.42,2026-02-21 02:19:00,fashion,success,NORMAL
T0000231,C04024,D01727,P04052,1079.95,2026-01-23 20:03:00,electronics,success,NORMAL
T0000232,C03811,D02310,P08796,488.57,2026-06-03 03:59:00,travel,success,NORMAL
T0000233,C08767,D04366,P02725,2364.9,2026-01-26 02:34:00,food,success,NORMAL
T0000234,C02525,D02782,P03246,9859.29,2026-05-05 13:18:00,fashion,success,NORMAL
T0000235,C00567,D03851,P06971,262.93,2026-02-13 14:11:00,food,success,NORMAL
T0000236,C04504,D04875,P06892,278.25,2026-04-30 21:15:00,fashion,success,NORMAL
T0000237,C06726,D03867,P06072,1134.3,2026-07-02 21:47:00,electronics,success,NORMAL
T0000238,C05504,D00938,P06029,533.07,2026-02-20 08:54:00,food,success,NORMAL
T0000239,C02373,D04344,P05766,2632.13,2026-03-21 13:11:00,food,success,NORMAL
T0000240,C06665,D00768,P03904,1065.86,2026-07-24 21:07:00,travel,success,NORMAL
T0000241,C01611,D03730,P05456,910.12,2026-05-08 21:50:00,electronics,success,NORMAL
T0000242,C01020,D01233,P03539,906.01,2026-07-24 09:29:00,food,success,NORMAL
T0000243,C01012,D03731,P03043,1999.0,2026-02-23 00:03:00,food,success,ABUSIVE
T0000244,C09474,D00249,P02650,798.34,2026-03-05 00:41:00,food,success,ABUSIVE
T0000245,C09020,D00837,P06079,5488.19,2026-06-04 03:35:00,food,success,NORMAL
T0000246,C02944,D00213,P09324,831.96,2026-04-03 13:06:00,grocery,success,NORMAL
T0000247,C03316,D00005,P06187,8440.31,2026-01-28 08:48:00,travel,success,NORMAL
T0000248,C08162,D04480,P00915,1389.68,2026-02-08 00:31:00,food,success,NORMAL
T0000249,C09183,D02062,P01548,271.53,2026-01-17 15:47:00,electronics,success,NORMAL
T0000250,C00692,D01564,P05951,560.41,2026-03-08 12:23:00,grocery,success,NORMAL
T0000251,C03591,D01845,P09706,552.11,2026-01-07 07:13:00,travel,success,NORMAL
T0000252,C01788,D00116,P06088,436.84,2026-04-25 07:01:00,grocery,success,NORMAL
T0000253,C07823,D00666,P05063,686.77,2026-05-12 11:07:00,grocery,success,NORMAL
T0000254,C05925,D00103,P01379,8764.49,2026-06-18 22:53:00,travel,success,NORMAL
T0000255,C04066,D04405,P07629,306.04,2026-05-10 22:24:00,fashion,success,NORMAL
T0000256,C02547,D03755,P04019,1490.14,2026-05-19 00:39:00,food,success,ABUSIVE
T0000257,C00903,D01961,P09473,922.5,2026-05-23 22:34:00,fashion,success,NORMAL
T0000258,C02995,D04002,P00645,1057.93,2026-03-01 05:42:00,fashion,success,NORMAL
T0000259,C00744,D00627,P04222,1546.87,2026-01-18 01:10:00,electronics,success,NORMAL
T0000260,C01853,D02367,P05966,11280.64,2026-02-10 06:54:00,electronics,success,NORMAL
T0000261,C00323,D03160,P02460,7947.71,2026-04-06 19:41:00,grocery,success,NORMAL
T0000262,C01669,D01480,P00391,873.57,2026-06-10 04:49:00,food,success,NORMAL
T0000263,C07608,D00765,P03774,895.62,2026-04-07 11:22:00,grocery,success,NORMAL
T0000264,C07395,D03253,P01883,5007.42,2026-05-14 02:06:00,food,success,NORMAL
T0000265,C08553,D04167,P01318,494.53,2026-05-12 00:17:00,grocery,success,ABUSIVE
T0000266,C03367,D00525,P03921,863.76,2026-02-09 21:08:00,electronics,success,NORMAL
T0000267,C01269,D03543,P02228,6967.97,2026-04-25 06:36:00,electronics,success,NORMAL
T0000268,C06135,D02353,P03009,1668.17,2026-01-28 21:37:00,fashion,success,NORMAL
T0000269,C01657,D02222,P04423,700.72,2026-02-19 20:47:00,travel,success,NORMAL
T0000270,C04121,D02876,P08789,8930.86,2026-04-23 23:10:00,electronics,success,NORMAL
T0000271,C04233,D01621,P02885,8426.99,2026-07-12 05:19:00,fashion,success,NORMAL
T0000272,C00833,D00093,P09427,3499.0,2026-04-29 13:00:00,fashion,success,ABUSIVE
T0000273,C05061,D04795,P07216,711.89,2026-01-16 07:14:00,grocery,success,NORMAL
T0000274,C05834,D04503,P02056,1480.33,2026-03-25 15:41:00,grocery,success,NORMAL
T0000275,C06268,D01529,P07516,2593.53,2026-03-14 08:07:00,grocery,success,NORMAL
T0000276,C07235,D02035,P09357,765.51,2026-01-03 09:02:00,fashion,success,NORMAL
T0000277,C07045,D04364,P05869,5443.2,2026-07-14 19:00:00,travel,success,NORMAL
T0000278,C04232,D04622,P06704,460.09,2026-02-27 15:46:00,electronics,success,NORMAL
T0000279,C00507,D02135,P00525,1624.99,2026-04-04 01:36:00,travel,success,NORMAL
T0000280,C06779,D01605,P05015,682.54,2026-04-22 13:06:00,travel,success,NORMAL
T0000281,C00523,D04461,P07249,535.01,2026-04-20 22:02:00,grocery,success,ABUSIVE
T0000282,C08118,D03656,P09089,522.88,2026-07-20 09:40:00,electronics,success,NORMAL
T0000283,C01993,D03643,P02473,5400.65,2026-06-15 16:20:00,electronics,success,NORMAL
T0000284,C08767,D02050,P03284,8900.65,2026-05-19 12:25:00,food,success,NORMAL
T0000285,C01168,D03858,P07909,7462.53,2026-02-11 16:54:00,travel,success,NORMAL
T0000286,C01984,D00465,P04842,10852.09,2026-02-03 00:10:00,fashion,success,NORMAL
T0000287,C07243,D04328,P09757,2429.66,2026-01-27 18:08:00,grocery,success,NORMAL
T0000288,C02517,D03341,P04670,2369.52,2026-02-19 19:52:00,grocery,success,NORMAL
T0000289,C08661,D04506,P09047,7298.95,2026-01-05 02:46:00,grocery,success,NORMAL
T0000290,C01097,D03462,P00241,746.89,2026-06-17 07:01:00,fashion,success,NORMAL
T0000291,C07637,D01775,P09019,266.26,2026-02-02 04:51:00,travel,success,NORMAL
T0000292,C02436,D04951,P03715,338.54,2026-03-05 23:23:00,electronics,success,NORMAL
T0000293,C05976,D02332,P01075,1445.48,2026-07-17 14:37:00,electronics,success,NORMAL
T0000294,C07862,D01214,P05566,1035.48,2026-05-23 21:57:00,grocery,success,NORMAL
T0000295,C04677,D00458,P08243,10830.01,2026-06-25 20:50:00,electronics,success,NORMAL
T0000296,C00058,D03844,P02939,2405.35,2026-07-14 08:29:00,travel,success,NORMAL
T0000297,C00179,D01583,P00310,4530.2,2026-01-24 07:28:00,electronics,success,NORMAL
T0000298,C06795,D03205,P02694,291.38,2026-06-21 10:14:00,travel,success,NORMAL
T0000299,C03909,D03290,P05738,797.78,2026-05-02 14:04:00,grocery,success,NORMAL
T0000300,C09753,D01626,P00956,6957.54,2026-02-27 04:25:00,food,success,NORMAL
T0000301,C07894,D02769,P03765,2487.45,2026-06-23 12:58:00,electronics,success,NORMAL
