customer_id,device_id,first_used,last_used,usage_frequency,source
C00131,D02753,2025-01-01,2026-08-01,13,baseline
C00132,D04250,2025-01-01,2026-08-01,11,baseline
C00133,D03586,2025-01-01,2026-08-01,13,baseline
C00134,D01007,2025-01-01,2026-08-01,5,baseline
C00135,D03691,2025-01-01,2026-08-01,16,baseline
C00136,D02116,2025-01-01,2026-08-01,10,baseline
C00137,D02831,2025-01-01,2026-08-01,13,baseline
C00138,D03685,2025-01-01,2026-08-01,10,baseline
C00139,D03943,2025-01-01,2026-08-01,11,baseline
C00140,D04325,2025-01-01,2026-08-01,6,baseline
C00141,D04366,2025-01-01,2026-08-01,3,baseline
C00142,D01192,2025-01-01,2026-08-01,18,baseline
C00143,D04144,2025-01-01,2026-08-01,1,baseline
C00144,D01483,2025-01-01,2026-08-01,20,baseline
C00145,D02882,2025-01-01,2026-08-01,17,baseline
C00146,D02251,2025-01-01,2026-08-01,11,baseline
C00147,D01551,2025-01-01,2026-08-01,11,baseline
C00148,D03200,2025-01-01,2026-08-01,9,baseline
C00149,D03664,2025-01-01,2026-08-01,4,baseline
C00150,D04678,2025-01-01,2026-08-01,3,baseline
C00151,D00882,2025-01-01,2026-08-01,2,baseline
C00152,D03534,2025-01-01,2026-08-01,12,baseline
C00153,D04083,2025-01-01,2026-08-01,10,baseline
C00154,D02149,2025-01-01,2026-08-01,12,baseline
C00155,D02060,2025-01-01,2026-08-01,11,baseline
C00156,D01729,2025-01-01,2026-08-01,3,baseline
C00157,D04711,2025-01-01,2026-08-01,2,baseline
C00158,D04327,2025-01-01,2026-08-01,6,baseline
C00159,D02615,2025-01-01,2026-08-01,4,baseline
C00160,D04808,2025-01-01,2026-08-01,9,baseline
C00161,D01520,2025-01-01,2026-08-01,19,baseline
C00162,D01077,2025-01-01,2026-08-01,13,baseline
C00163,D01599,2025-01-01,2026-08-01,15,baseline
C00164,D00275,2025-01-01,2026-08-01,20,baseline
C00165,D00994,2025-01-01,2026-08-01,3,baseline
C00166,D04970,2025-01-01,2026-08-01,3,baseline
C00167,D01193,2025-01-01,2026-08-01,5,baseline
C00168,D03549,2025-01-01,2026-08-01,4,baseline
C00169,D04531,2025-01-01,2026-08-01,9,baseline
C00170,D02844,2025-01-01,2026-08-01,3,baseline
C00171,D04435,2025-01-01,2026-08-01,16,baseline
C00172,D01485,2025-01-01,2026-08-01,6,baseline
C00173,D00984,2025-01-01,2026-08-01,18,baseline
C00174,D04156,2025-01-01,2026-08-01,7,baseline
C00175,D01778,2025-01-01,2026-08-01,6,baseline
C00176,D02873,2025-01-01,2026-08-01,16,baseline
C00177,D01637,2025-01-01,2026-08-01,10,baseline
C00178,D03625,2025-01-01,2026-08-01,4,baseline
C00179,D00766,2025-01-01,2026-08-01,9,baseline
C00180,D03027,2025-01-01,2026-08-01,10,baseline
C00181,D03293,2025-01-01,2026-08-01,5,baseline
C00182,D02185,2025-01-01,2026-08-01,17,baseline
C00183,D04598,2025-01-01,2026-08-01,15,baseline
C00184,D00951,2025-01-01,2026-08-01,16,baseline
C00185,D02575,2025-01-01,2026-08-01,5,baseline
C00186,D03925,2025-01-01,2026-08-01,14,baseline
C00187,D01330,2025-01-01,2026-08-01,17,baseline
C00188,D03197,2025-01-01,2026-08-01,18,baseline
C00189,D01018,2025-01-01,2026-08-01,19,baseline
C00190,D03300,2025-01-01,2026-08-01,3,baseline
C00191,D02885,2025-01-01,2026-08-01,18,baseline
C00192,D04918,2025-01-01,2026-08-01,5,baseline
C00193,D02322,2025-01-01,2026-08-01,6,baseline
C00194,D00435,2025-01-01,2026-08-01,8,baseline
C00195,D03214,2025-01-01,2026-08-01,4,baseline
C00196,D01131,2025-01-01,2026-08-01,17,baseline
C00197,D00888,2025-01-01,2026-08-01,4,baseline
C00198,D04014,2025-01-01,2026-08-01,2,baseline
C00199,D00168,2025-01-01,2026-08-01,10,baseline
C00200,D04458,2025-01-01,2026-08-01,16,baseline
C00201,D03900,2025-01-01,2026-08-01,10,baseline
C00202,D00404,2025-01-01,2026-08-01,12,baseline
C00203,D00967,2025-01-01,2026-08-01,15,baseline
C00204,D01052,2025-01-01,2026-08-01,2,baseline
C00205,D01983,2025-01-01,2026-08-01,19,baseline
C00206,D00461,2025-01-01,2026-08-01,3,baseline
C00207,D01864,2025-01-01,2026-08-01,4,baseline
C00208,D01063,2025-01-01,2026-08-01,19,baseline
C00209,D04215,2025-01-01,2026-08-01,3,baseline
C00210,D03699,2025-01-01,2026-08-01,16,baseline
C00211,D04767,2025-01-01,2026-08-01,13,baseline
C00212,D03558,2025-01-01,2026-08-01,16,baseline
C00213,D00544,2025-01-01,2026-08-01,13,baseline
C00214,D00417,2025-01-01,2026-08-01,13,baseline
C00215,D04491,2025-01-01,2026-08-01,11,baseline
C00216,D04290,2025-01-01,2026-08-01,18,baseline
C00217,D02557,2025-01-01,2026-08-01,9,baseline
C00218,D02351,2025-01-01,2026-08-01,11,baseline
C00219,D02233,2025-01-01,2026-08-01,20,baseline
C00220,D04188,2025-01-01,2026-08-01,13,baseline
C00221,D02901,2025-01-01,2026-08-01,8,baseline
C00222,D03465,2025-01-01,2026-08-01,18,baseline
C00223,D02591,2025-01-01,2026-08-01,4,baseline
C00224,D03416,2025-01-01,2026-08-01,11,baseline
C00225,D04043,2025-01-01,2026-08-01,14,baseline
C00226,D03643,2025-01-01,2026-08-01,8,baseline
C00227,D02811,2025-01-01,2026-08-01,12,baseline
C00228,D02589,2025-01-01,2026-08-01,9,baseline
C00229,D03819,2025-01-01,2026-08-01,18,baseline
C00230,D01496,2025-01-01,2026-08-01,3,baseline
C00231,D01240,2025-01-01,2026-08-01,13,baseline
C00232,D00896,2025-01-01,2026-08-01,18,baseline
C00233,D04239,2025-01-01,2026-08-01,12,baseline
C00234,D03202,2025-01-01,2026-08-01,7,baseline
C00235,D02670,2025-01-01,2026-08-01,17,baseline
C00236,D03414,2025-01-01,2026-08-01,19,baseline
C00237,D03972,2025-01-01,2026-08-01,3,baseline
C00238,D02367,2025-01-01,2026-08-01,12,baseline
C00239,D04136,2025-01-01,2026-08-01,18,baseline
C00240,D03558,2025-01-01,2026-08-01,8,baseline
C00241,D01447,2025-01-01,2026-08-01,10,baseline
C00242,D01688,2025-01-01,2026-08-01,12,baseline
C00243,D04346,2025-01-01,2026-08-01,17,baseline
C00244,D00095,2025-01-01,2026-08-01,1,baseline
C00245,D01112,2025-01-01,2026-08-01,12,baseline
C00246,D01718,2025-01-01,2026-08-01,13,baseline
C00247,D03901,2025-01-01,2026-08-01,6,baseline
C00248,D04376,2025-01-01,2026-08-01,13,baseline
C00249,D04152,2025-01-01,2026-08-01,6,baseline
C00250,D00534,2025-01-01,2026-08-01,9,baseline
C00251,D04495,2025-01-01,2026-08-01,9,baseline
C00252,D03828,2025-01-01,2026-08-01,9,baseline
C00253,D03383,2025-01-01,2026-08-01,4,baseline
C00254,D02553,2025-01-01,2026-08-01,15,baseline
C00255,D01396,2025-01-01,2026-08-01,3,baseline
C00256,D01029,2025-01-01,2026-08-01,16,baseline
C00257,D03726,2025-01-01,2026-08-01,7,baseline
C00258,D01508,2025-01-01,2026-08-01,2,baseline
C00259,D03441,2025-01-01,2026-08-01,4,baseline
C00260,D01829,2025-01-01,2026-08-01,14,baseline
C00261,D04995,2025-01-01,2026-08-01,12,baseline
C00262,D03847,2025-01-01,2026-08-01,10,baseline
C00263,D00081,2025-01-01,2026-08-01,6,baseline
C00264,D01893,2025-01-01,2026-08-01,12,baseline
C00265,D01966,2025-01-01,2026-08-01,11,baseline
C00266,D02080,2025-01-01,2026-08-01,12,baseline
C00267,D03549,2025-01-01,2026-08-01,8,baseline
C00268,D01758,2025-01-01,2026-08-01,17,baseline
C00269,D03206,2025-01-01,2026-08-01,2,baseline
C00270,D02363,2025-01-01,2026-08-01,19,baseline
C00271,D03221,2025-01-01,2026-08-01,20,baseline
C00272,D01015,2025-01-01,2026-08-01,11,baseline
C00273,D02649,2025-01-01,2026-08-01,14,baseline
C00274,D01586,2025-01-01,2026-08-01,20,baseline
C00275,D00421,2025-01-01,2026-08-01,10,baseline
C00276,D02649,2025-01-01,2026-08-01,4,baseline
C00277,D02379,2025-01-01,2026-08-01,6,baseline
C00278,D01124,2025-01-01,2026-08-01,11,baseline
C00279,D02129,2025-01-01,2026-08-01,13,baseline
C00280,D04243,2025-01-01,2026-08-01,19,baseline
C00281,D01714,2025-01-01,2026-08-01,7,baseline
C00282,D02776,2025-01-01,2026-08-01,16,baseline
C00283,D03669,2025-01-01,2026-08-01,14,baseline
C00284,D02951,2025-01-01,2026-08-01,7,baseline
C00285,D02221,2025-01-01,2026-08-01,19,baseline
C00286,D00181,2025-01-01,2026-08-01,17,baseline
C00287,D03705,2025-01-01,2026-08-01,15,baseline
C00288,D03841,2025-01-01,2026-08-01,20,baseline
C00289,D01263,2025-01-01,2026-08-01,17,baseline
C00290,D01138,2025-01-01,2026-08-01,16,baseline
C00291,D00603,2025-01-01,2026-08-01,10,baseline
C00292,D00200,2025-01-01,2026-08-01,10,baseline
C00293,D02102,2025-01-01,2026-08-01,2,baseline
C00294,D04074,2025-01-01,2026-08-01,20,baseline
C00295,D00821,2025-01-01,2026-08-01,16,baseline
C00296,D03540,2025-01-01,2026-08-01,4,baseline
C00297,D04301,2025-01-01,2026-08-01,11,baseline
C00298,D02815,2025-01-01,2026-08-01,5,baseline
C00299,D02978,2025-01-01,2026-08-01,6,baseline
C00300,D03200,2025-01-01,2026-08-01,10,baseline
C00301,D00284,2025-01-01,2026-08-01,3,baseline
C00302,D04238,2025-01-01,2026-08-01,2,baseline
C00303,D01384,2025-01-01,2026-08-01,20,baseline
C00304,D02065,2025-01-01,2026-08-01,18,baseline
C00305,D01095,2025-01-01,2026-08-01,3,baseline
C00306,D01124,2025-01-01,2026-08-01,4,baseline
C00307,D04724,2025-01-01,2026-08-01,10,baseline
C00308,D02016,2025-01-01,2026-08-01,7,baseline
C00309,D04605,2025-01-01,2026-08-01,4,baseline
C00310,D04664,2025-01-01,2026-08-01,18,baseline
C00311,D01209,2025-01-01,2026-08-01,15,baseline
C00312,D04859,2025-01-01,2026-08-01,2,baseline
C00313,D03826,2025-01-01,2026-08-01,15,baseline
C00314,D03076,2025-01-01,2026-08-01,20,baseline
C00315,D02701,2025-01-01,2026-08-01,8,baseline
C00316,D03830,2025-01-01,2026-08-01,2,baseline
C00317,D04911,2025-01-01,2026-08-01,8,baseline
C00318,D01863,2025-01-01,2026-08-01,20,baseline
C00319,D04283,2025-01-01,2026-08-01,14,baseline
C00320,D00515,2025-01-01,2026-08-01,9,baseline
C00321,D03343,2025-01-01,2026-08-01,9,baseline
C00322,D01507,2025-01-01,2026-08-01,19,baseline
C00323,D04686,2025-01-01,2026-08-01,2,baseline
C00324,D02557,2025-01-01,2026-08-01,11,baseline
C00325,D00612,2025-01-01,2026-08-01,19,baseline
C00326,D04774,2025-01-01,2026-08-01,6,baseline
C00327,D03885,2025-01-01,2026-08-01,4,baseline
C00328,D02614,2025-01-01,2026-08-01,18,baseline
C00329,D00093,2025-01-01,2026-08-01,10,baseline
C00330,D03398,2025-01-01,2026-08-01,2,baseline
C00331,D02028,2025-01-01,2026-08-01,1,baseline
C00332,D02023,2025-01-01,2026-08-01,11,baseline
C00333,D03444,2025-01-01,2026-08-01,2,baseline
C00334,D03997,2025-01-01,2026-08-01,19,baseline
C00335,D02083,2025-01-01,2026-08-01,2,baseline
C00336,D03581,2025-01-01,2026-08-01,17,baseline
C00337,D03130,2025-01-01,2026-08-01,9,baseline
C00338,D04869,2025-01-01,2026-08-01,5,baseline
C00339,D02784,2025-01-01,2026-08-01,19,baseline
C00340,D02023,2025-01-01,2026-08-01,9,baseline
C00341,D04128,2025-01-01,2026-08-01,13,baseline
C00342,D02615,2025-01-01,2026-08-01,10,baseline
C00343,D04478,2025-01-01,2026-08-01,2,baseline
C00344,D01028,2025-01-01,2026-08-01,6,baseline
C00345,D03632,2025-01-01,2026-08-01,14,baseline
C00346,D03196,2025-01-01,2026-08-01,12,baseline
C00347,D00565,2025-01-01,2026-08-01,16,baseline
C00348,D02770,2025-01-01,2026-08-01,19,baseline
C00349,D01091,2025-01-01,2026-08-01,16,baseline
C00350,D01046,2025-01-01,2026-08-01,7,baseline
C00351,D02462,2025-01-01,2026-08-01,4,baseline
C00352,D04471,2025-01-01,2026-08-01,8,baseline
C00353,D01952,2025-01-01,2026-08-01,16,baseline
C00354,D01976,2025-01-01,2026-08-01,15,baseline
C00355,D01532,2025-01-01,2026-08-01,13,baseline
C00356,D04200,2025-01-01,2026-08-01,12,baseline
C00357,D02919,2025-01-01,2026-08-01,8,baseline
C00358,D00532,2025-01-01,2026-08-01,13,baseline
C00359,D00850,2025-01-01,2026-08-01,7,baseline
C00360,D03112,2025-01-01,2026-08-01,18,baseline
C00361,D01890,2025-01-01,2026-08-01,8,baseline
C00362,D03968,2025-01-01,2026-08-01,13,baseline
C00363,D00723,2025-01-01,2026-08-01,13,baseline
C00364,D04112,2025-01-01,2026-08-01,9,baseline
C00365,D00853,2025-01-01,2026-08-01,4,baseline
C00366,D01243,2025-01-01,2026-08-01,5,baseline
C00367,D00963,2025-01-01,2026-08-01,6,baseline
C00368,D03940,2025-01-01,2026-08-01,10,baseline
C00369,D00969,2025-01-01,2026-08-01,12,baseline
C00370,D01472,2025-01-01,2026-08-01,10,baseline
C00371,D00425,2025-01-01,2026-08-01,13,baseline
C00372,D04960,2025-01-01,2026-08-01,17,baseline
C00373,D04296,2025-01-01,2026-08-01,1,baseline
C00374,D02711,2025-01-01,2026-08-01,12,baseline
C00375,D01409,2025-01-01,2026-08-01,2,baseline
C00376,D00019,2025-01-01,2026-08-01,20,baseline
C00377,D02047,2025-01-01,2026-08-01,20,baseline
C00378,D00436,2025-01-01,2026-08-01,2,baseline
C00379,D04487,2025-01-01,2026-08-01,19,baseline
C00380,D04725,2025-01-01,2026-08-01,7,baseline
C00381,D00054,2025-01-01,2026-08-01,13,baseline
C00382,D03991,2025-01-01,2026-08-01,15,baseline
C00383,D01679,2025-01-01,2026-08-01,17,baseline
C00384,D00260,2025-01-01,2026-08-01,15,baseline
C00385,D00593,2025-01-01,2026-08-01,4,baseline
C00386,D02458,2025-01-01,2026-08-01,18,baseline
C00387,D02782,2025-01-01,2026-08-01,15,baseline
C00388,D03431,2025-01-01,2026-08-01,18,baseline
C00389,D00099,2025-01-01,2026-08-01,8,baseline
C00390,D00497,2025-01-01,2026-08-01,5,baseline
C00391,D02123,2025-01-01,2026-08-01,1,baseline
C00392,D03988,2025-01-01,2026-08-01,8,baseline
C00393,D04581,2025-01-01,2026-08-01,3,baseline
C00394,D02640,2025-01-01,2026-08-01,10,baseline
C00395,D00529,2025-01-01,2026-08-01,5,baseline
C00396,D03344,2025-01-01,2026-08-01,16,baseline
C00397,D00078,2025-01-01,2026-08-01,1,baseline
C00398,D00053,2025-01-01,2026-08-01,10,baseline
C00399,D03675,2025-01-01,2026-08-01,18,baseline
C00400,D02333,2025-01-01,2026-08-01,3,baseline
C00401,D04783,2025-01-01,2026-08-01,12,baseline
C00402,D03827,2025-01-01,2026-08-01,8,baseline
C00403,D00412,2025-01-01,2026-08-01,14,baseline
C00404,D02166,2025-01-01,2026-08-01,2,baseline
C00405,D00652,2025-01-01,2026-08-01,7,baseline
C00406,D00379,2025-01-01,2026-08-01,12,baseline
C00407,D01525,2025-01-01,2026-08-01,8,baseline
C00408,D03061,2025-01-01,2026-08-01,7,baseline
C00409,D03705,2025-01-01,2026-08-01,19,baseline
C00410,D04160,2025-01-01,2026-08-01,6,baseline
C00411,D01807,2025-01-01,2026-08-01,4,baseline
C00412,D03984,2025-01-01,2026-08-01,4,baseline
C00413,D01123,2025-01-01,2026-08-01,20,baseline
C00414,D03401,2025-01-01,2026-08-01,18,baseline
C00415,D03833,2025-01-01,2026-08-01,11,baseline
C00416,D04553,2025-01-01,2026-08-01,3,baseline
C00417,D02415,2025-01-01,2026-08-01,5,baseline
C00418,D01799,2025-01-01,2026-08-01,12,baseline
C00419,D00808,2025-01-01,2026-08-01,11,baseline
C00420,D00401,2025-01-01,2026-08-01,5,baseline
C00421,D01377,2025-01-01,2026-08-01,10,baseline
C00422,D02512,2025-01-01,2026-08-01,13,baseline
C00423,D03933,2025-01-01,2026-08-01,19,baseline
C00424,D04046,2025-01-01,2026-08-01,3,baseline
C00425,D02869,2025-01-01,2026-08-01,12,baseline
C00426,D01884,2025-01-01,2026-08-01,15,baseline
C00427,D01710,2025-01-01,2026-08-01,12,baseline
C00428,D03701,2025-01-01,2026-08-01,20,baseline
C00429,D04442,2025-01-01,2026-08-01,1,baseline
C00430,D04049,2025-01-01,2026-08-01,17,baseline
C00431,D00821,2025-01-01,2026-08-01,15,baseline
C00432,D03425,2025-01-01,2026-08-01,16,baseline
C00433,D01767,2025-01-01,2026-08-01,14,baseline
C00434,D01804,2025-01-01,2026-08-01,19,baseline
C00435,D04874,2025-01-01,2026-08-01,19,baseline
C00436,D04029,2025-01-01,2026-08-01,6,baseline
C00437,D01075,2025-01-01,2026-08-01,2,baseline
C00438,D02593,2025-01-01,2026-08-01,6,baseline
C00439,D00507,2025-01-01,2026-08-01,10,baseline
C00440,D00789,2025-01-01,2026-08-01,4,baseline
C00441,D03420,2025-01-01,2026-08-01,17,baseline
C00442,D01986,2025-01-01,2026-08-01,18,baseline
C00443,D01861,2025-01-01,2026-08-01,8,baseline
C00444,D01734,2025-01-01,2026-08-01,17,baseline
C00445,D01630,2025-01-01,2026-08-01,10,baseline
C00446,D01112,2025-01-01,2026-08-01,7,baseline
C00447,D01101,2025-01-01,2026-08-01,9,baseline
C00448,D01613,2025-01-01,2026-08-01,16,baseline
C00449,D00364,2025-01-01,2026-08-01,9,baseline
C00450,D03808,2025-01-01,2026-08-01,13,baseline
C00451,D04554,2025-01-01,2026-08-01,11,baseline
C00452,D00053,2025-01-01,2026-08-01,8,baseline
C00453,D00579,2025-01-01,2026-08-01,14,baseline
C00454,D00343,2025-01-01,2026-08-01,9,baseline
C00455,D01867,2025-01-01,2026-08-01,20,baseline
C00456,D03279,2025-01-01,2026-08-01,5,baseline
C00457,D00906,2025-01-01,2026-08-01,17,baseline
C00458,D00167,2025-01-01,2026-08-01,14,baseline
C00459,D02266,2025-01-01,2026-08-01,8,baseline
C00460,D04818,2025-01-01,2026-08-01,3,baseline
C00461,D02491,2025-01-01,2026-08-01,17,baseline
C00462,D00573,2025-01-01,2026-08-01,20,baseline
C00463,D00919,2025-01-01,2026-08-01,6,baseline
C00464,D03079,2025-01-01,2026-08-01,5,baseline
C00465,D02354,2025-01-01,2026-08-01,3,baseline
C00466,D02587,2025-01-01,2026-08-01,1,baseline
C00467,D03414,2025-01-01,2026-08-01,14,baseline
C00468,D00648,2025-01-01,2026-08-01,11,baseline
C00469,D04959,2025-01-01,2026-08-01,20,baseline
C00470,D04051,2025-01-01,2026-08-01,11,baseline
C00471,D04317,2025-01-01,2026-08-01,3,baseline
C00472,D01874,2025-01-01,2026-08-01,9,baseline
C00473,D00631,2025-01-01,2026-08-01,11,baseline
C00474,D01507,2025-01-01,2026-08-01,20,baseline
C00475,D00769,2025-01-01,2026-08-01,9,baseline
C00476,D01904,2025-01-01,2026-08-01,20,baseline
C00477,D04238,2025-01-01,2026-08-01,5,baseline
C00478,D01703,2025-01-01,2026-08-01,12,baseline
C00479,D03289,2025-01-01,2026-08-01,8,baseline
C00480,D03919,2025-01-01,2026-08-01,6,baseline
C00481,D01363,2025-01-01,2026-08-01,9,baseline
C00482,D00854,2025-01-01,2026-08-01,20,baseline
C00483,D04684,2025-01-01,2026-08-01,4,baseline
C00484,D02604,2025-01-01,2026-08-01,6,baseline
C00485,D03623,2025-01-01,2026-08-01,7,baseline
C00486,D04458,2025-01-01,2026-08-01,16,baseline
C00487,D02065,2025-01-01,2026-08-01,1,baseline
C00488,D03245,2025-01-01,2026-08-01,10,baseline
C00489,D00331,2025-01-01,2026-08-01,1,baseline
C00490,D02909,2025-01-01,2026-08-01,10,baseline
C00491,D03535,2025-01-01,2026-08-01,9,baseline
C00492,D03714,2025-01-01,2026-08-01,14,baseline
C00493,D00530,2025-01-01,2026-08-01,16,baseline
C00494,D03967,2025-01-01,2026-08-01,16,baseline
C00495,D01799,2025-01-01,2026-08-01,6,baseline
C00496,D00926,2025-01-01,2026-08-01,5,baseline
C00497,D03142,2025-01-01,2026-08-01,11,baseline
C00498,D03567,2025-01-01,2026-08-01,10,baseline
