refund_id,txn_id,requested_at,reason_code,approved
RF0000633,T0000633,2026-02-10 19:01:00,product_issue,True
RF0000663,T0000663,2026-04-30 11:11:00,other,True
RF0000668,T0000668,2026-01-07 12:40:00,product_issue,True
RF0000670,T0000670,2026-01-05 10:30:00,customer_request,True
RF0000673,T0000673,2026-02-11 05:36:00,duplicate,True
RF0000678,T0000678,2026-07-25 05:58:00,product_issue,True
RF0000685,T0000685,2026-05-09 09:47:00,other,True
RF0000688,T0000688,2026-05-03 05:16:00,product_issue,True
RF0000692,T0000692,2026-06-05 11:28:00,product_issue,True
RF0000693,T0000693,2026-01-13 06:05:00,product_issue,True
RF0000694,T0000694,2026-06-26 14:38:00,duplicate,True
RF0000707,T0000707,2026-03-13 21:09:00,customer_request,True
RF0000717,T0000717,2026-02-21 13:37:00,duplicate,True
RF0000729,T0000729,2026-02-26 00:59:00,duplicate,True
RF0000732,T0000732,2026-01-18 05:00:00,other,True
RF0000744,T0000744,2026-07-13 16:07:00,customer_request,True
RF0000747,T0000747,2026-04-18 02:27:00,duplicate,True
RF0000753,T0000753,2026-05-23 09:55:00,duplicate,True
RF0000772,T0000772,2026-03-06 16:56:00,duplicate,True
RF0000773,T0000773,2026-07-20 19:42:00,customer_request,True
RF0000776,T0000776,2026-03-30 10:15:00,duplicate,True
RF0000793,T0000793,2026-05-05 00:09:00,customer_request,True
RF0000794,T0000794,2026-04-08 12:46:00,duplicate,True
RF0000800,T0000800,2026-07-09 08:14:00,product_issue,True
RF0000804,T0000804,2026-07-19 10:19:00,other,True
RF0000813,T0000813,2026-01-04 03:43:00,duplicate,True
RF0000841,T0000841,2026-06-14 02:10:00,other,True
RF0000850,T0000850,2026-03-31 10:06:00,customer_request,True
RF0000851,T0000851,2026-02-05 10:19:00,customer_request,True
RF0000865,T0000865,2026-06-01 18:37:00,customer_request,True
RF0000872,T0000872,2026-07-27 02:33:00,other,True
RF0000880,T0000880,2026-03-27 02:39:00,customer_request,True
RF0000908,T0000908,2026-04-04 08:49:00,customer_request,True
RF0000924,T0000924,2026-04-22 13:22:00,other,True
RF0000928,T0000928,2026-02-06 23:00:00,other,True
RF0000929,T0000929,2026-03-06 09:14:00,duplicate,True
RF0000932,T0000932,2026-01-05 20:25:00,duplicate,True
RF0000935,T0000935,2026-04-12 20:10:00,other,True
RF0000937,T0000937,2026-03-23 05:32:00,customer_request,True
RF0000943,T0000943,2026-04-14 05:45:00,other,True
RF0000950,T0000950,2026-06-10 19:44:00,duplicate,True
RF0000968,T0000968,2026-01-14 01:12:00,other,True
RF0000969,T0000969,2026-04-05 19:50:00,customer_request,True
RF0000971,T0000971,2026-01-21 06:47:00,product_issue,True
RF0000999,T0000999,2026-01-12 14:07:00,duplicate,True
RF0001025,T0001025,2026-04-25 19:24:00,product_issue,True
RF0001034,T0001034,2026-04-10 16:07:00,other,True
RF0001041,T0001041,2026-06-28 06:53:00,product_issue,True
RF0001049,T0001049,2026-04-07 04:25:00,duplicate,True
RF0001070,T0001070,2026-06-19 15:10:00,product_issue,True
RF0001099,T0001099,2026-01-06 17:46:00,duplicate,True
RF0001108,T0001108,2026-06-17 19:36:00,duplicate,True
RF0001113,T0001113,2026-05-17 05:40:00,duplicate,True
RF0001115,T0001115,2026-01-26 16:05:00,customer_request,True
RF0001127,T0001127,2026-05-10 09:56:00,duplicate,True
RF0001132,T0001132,2026-03-04 03:04:00,customer_request,True
RF0001135,T0001135,2026-01-07 19:08:00,duplicate,True
RF0001137,T0001137,2026-01-31 14:57:00,duplicate,True
RF0001143,T0001143,2026-02-10 05:25:00,product_issue,True
RF0001148,T0001148,2026-05-08 13:01:00,duplicate,True
RF0001183,T0001183,2026-03-12 10:00:00,product_issue,True
RF0001185,T0001185,2026-01-30 23:36:00,other,True
RF0001192,T0001192,2026-05-22 20:31:00,duplicate,True
RF0001216,T0001216,2026-06-14 15:01:00,duplicate,True
RF0001224,T0001224,2026-05-19 06:19:00,duplicate,True
RF0001227,T0001227,2026-03-20 17:27:00,customer_request,True
RF0001239,T0001239,2026-03-23 19:13:00,other,True
RF0001243,T0001243,2026-04-26 03:46:00,customer_request,True
RF0001246,T0001246,2026-04-23 18:04:00,product_issue,True
RF0001261,T0001261,2026-07-21 16:08:00,other,True
RF0001264,T0001264,2026-06-05 05:18:00,duplicate,True
RF0001279,T0001279,2026-07-19 11:04:00,product_issue,True
RF0001282,T0001282,2026-02-28 23:10:00,duplicate,True
RF0001306,T0001306,2026-03-19 07:08:00,duplicate,True
RF0001317,T0001317,2026-05-26 21:26:00,customer_request,True
RF0001320,T0001320,2026-06-10 22:15:00,other,True
RF0001326,T0001326,2026-07-13 02:50:00,customer_request,True
RF0001335,T0001335,2026-01-27 00:44:00,customer_request,True
RF0001339,T0001339,2026-05-16 11:30:00,product_issue,True
RF0001341,T0001341,2026-04-25 19:20:00,other,True
RF0001350,T0001350,2026-07-08 18:49:00,duplicate,True
RF0001359,T0001359,2026-07-18 11:10:00,other,True
RF0001363,T0001363,2026-05-17 20:57:00,duplicate,True
RF0001370,T0001370,2026-05-27 11:22:00,duplicate,True
RF0001376,T0001376,2026-03-10 13:23:00,customer_request,True
RF0001380,T0001380,2026-06-24 11:24:00,duplicate,True
RF0001382,T0001382,2026-04-30 21:49:00,duplicate,True
RF0001389,T0001389,2026-07-28 09:48:00,product_issue,True
RF0001406,T0001406,2026-03-14 14:26:00,customer_request,True
RF0001418,T0001418,2026-05-25 02:21:00,customer_request,True
RF0001433,T0001433,2026-01-21 18:52:00,customer_request,True
RF0001440,T0001440,2026-07-14 15:19:00,duplicate,True
RF0001442,T0001442,2026-05-24 08:32:00,customer_request,True
RF0001459,T0001459,2026-07-16 18:56:00,customer_request,True
RF0001467,T0001467,2026-02-05 10:00:00,product_issue,True
RF0001471,T0001471,2026-07-27 18:14:00,duplicate,True
RF0001472,T0001472,2026-05-25 02:00:00,product_issue,True
RF0001488,T0001488,2026-07-20 16:36:00,customer_request,True
RF0001530,T0001530,2026-06-25 09:07:00,other,True
RF0001560,T0001560,2026-02-04 21:36:00,customer_request,True
RF0001595,T0001595,2026-07-27 12:13:00,duplicate,True
RF0001597,T0001597,2026-05-18 04:37:00,customer_request,True
RF0001611,T0001611,2026-07-20 14:37:00,product_issue,True
RF0001615,T0001615,2026-06-08 03:10:00,other,True
RF0001634,T0001634,2026-06-27 00:22:00,customer_request,True
RF0001645,T0001645,2026-01-30 17:21:00,product_issue,True
RF0001646,T0001646,2026-06-10 11:06:00,other,True
RF0001667,T0001667,2026-05-18 17:20:00,duplicate,True
RF0001676,T0001676,2026-03-11 14:22:00,other,True
RF0001678,T0001678,2026-04-12 05:26:00,duplicate,True
RF0001690,T0001690,2026-01-31 02:19:00,other,True
RF0001708,T0001708,2026-06-12 02:01:00,customer_request,True
RF0001715,T0001715,2026-07-12 00:26:00,duplicate,True
RF0001717,T0001717,2026-06-15 14:37:00,product_issue,True
RF0001738,T0001738,2026-02-16 12:46:00,duplicate,True
RF0001744,T0001744,2026-03-16 00:25:00,customer_request,True
RF0001756,T0001756,2026-03-22 23:12:00,duplicate,True
RF0001760,T0001760,2026-02-04 18:34:00,customer_request,True
RF0001765,T0001765,2026-07-02 19:36:00,product_issue,True
RF0001793,T0001793,2026-02-27 12:30:00,duplicate,True
RF0001814,T0001814,2026-03-21 05:55:00,other,True
RF0001816,T0001816,2026-03-14 12:59:00,duplicate,True
RF0001817,T0001817,2026-03-27 23:18:00,customer_request,True
RF0001827,T0001827,2026-03-09 15:15:00,product_issue,True
RF0001849,T0001849,2026-07-12 12:11:00,customer_request,True
RF0001853,T0001853,2026-03-30 13:31:00,duplicate,True
RF0001865,T0001865,2026-06-26 22:28:00,other,True
RF0001871,T0001871,2026-05-26 00:37:00,customer_request,True
RF0001879,T0001879,2026-02-01 19:12:00,product_issue,True
RF0001891,T0001891,2026-03-06 15:30:00,other,True
RF0001892,T0001892,2026-01-09 01:00:00,customer_request,True
RF0001915,T0001915,2026-02-13 03:31:00,product_issue,True
RF0001917,T0001917,2026-02-19 19:19:00,duplicate,True
RF0001921,T0001921,2026-06-21 12:29:00,other,True
RF0001936,T0001936,2026-04-01 06:46:00,duplicate,True
RF0001946,T0001946,2026-04-21 16:14:00,duplicate,True
RF0001994,T0001994,2026-05-12 13:49:00,customer_request,True
RF0002002,T0002002,2026-04-17 09:41:00,customer_request,True
RF0002006,T0002006,2026-01-19 06:43:00,other,True
RF0002020,T0002020,2026-06-09 03:48:00,duplicate,True
RF0002023,T0002023,2026-03-29 00:27:00,customer_request,True
RF0002060,T0002060,2026-07-07 21:03:00,customer_request,True
RF0002073,T0002073,2026-06-27 22:41:00,duplicate,True
RF0002093,T0002093,2026-05-05 02:31:00,product_issue,True
RF0002099,T0002099,2026-07-26 23:49:00,duplicate,True
RF0002104,T0002104,2026-02-01 09:44:00,customer_request,True
RF0002120,T0002120,2026-04-14 17:53:00,customer_request,True
RF0002126,T0002126,2026-02-10 04:20:00,duplicate,True
RF0002131,T0002131,2026-02-02 07:41:00,product_issue,True
RF0002140,T0002140,2026-01-19 17:20:00,product_issue,True
RF0002162,T0002162,2026-02-12 10:01:00,customer_request,True
RF0002171,T0002171,2026-02-17 02:00:00,product_issue,True
RF0002177,T0002177,2026-01-27 05:40:00,customer_request,True
RF0002179,T0002179,2026-06-01 17:01:00,duplicate,True
RF0002189,T0002189,2026-07-09 07:13:00,product_issue,True
RF0002190,T0002190,2026-01-05 04:21:00,product_issue,True
RF0002192,T0002192,2026-01-16 17:11:00,customer_request,True
RF0002206,T0002206,2026-06-14 03:02:00,customer_request,True
RF0002213,T0002213,2026-01-09 13:47:00,other,True
RF0002218,T0002218,2026-04-26 23:03:00,product_issue,True
RF0002241,T0002241,2026-07-20 23:59:00,other,True
RF0002256,T0002256,2026-01-04 22:19:00,other,True
RF0002258,T0002258,2026-07-28 12:06:00,product_issue,True
RF0002274,T0002274,2026-01-28 01:09:00,other,True
RF0002287,T0002287,2026-07-30 11:14:00,product_issue,True
RF0002294,T0002294,2026-05-20 03:59:00,duplicate,True
RF0002295,T0002295,2026-02-26 23:40:00,product_issue,True
RF0002296,T0002296,2026-04-16 01:44:00,other,True
RF0002299,T0002299,2026-03-23 11:43:00,product_issue,True
RF0002307,T0002307,2026-05-19 21:57:00,customer_request,True
RF0002323,T0002323,2026-04-22 17:39:00,other,True
RF0002354,T0002354,2026-04-05 04:48:00,duplicate,True
RF0002378,T0002378,2026-01-30 03:52:00,customer_request,True
RF0002410,T0002410,2026-02-06 14:41:00,customer_request,True
RF0002450,T0002450,2026-06-03 09:02:00,duplicate,True
RF0002454,T0002454,2026-06-15 15:44:00,other,True
RF0002456,T0002456,2026-04-10 07:36:00,customer_request,True
RF0002489,T0002489,2026-07-24 06:15:00,product_issue,True
RF0002497,T0002497,2026-06-01 03:56:00,other,True
RF0002518,T0002518,2026-04-10 16:03:00,other,True
RF0002522,T0002522,2026-05-09 23:14:00,product_issue,True
RF0002523,T0002523,2026-05-29 05:41:00,other,True
RF0002532,T0002532,2026-05-07 12:31:00,customer_request,True
RF0002545,T0002545,2026-06-07 07:28:00,customer_request,True
RF0002548,T0002548,2026-06-14 22:50:00,product_issue,True
RF0002549,T0002549,2026-04-09 15:50:00,product_issue,True
RF0002569,T0002569,2026-03-19 19:01:00,product_issue,True
RF0002579,T0002579,2026-07-28 08:09:00,duplicate,True
RF0002587,T0002587,2026-07-15 20:27:00,product_issue,True
RF0002604,T0002604,2026-07-31 01:13:00,customer_request,True
RF0002618,T0002618,2026-04-18 09:32:00,product_issue,True
RF0002621,T0002621,2026-06-12 22:09:00,product_issue,True
RF0002627,T0002627,2026-06-20 22:05:00,customer_request,True
RF0002658,T0002658,2026-01-26 04:29:00,product_issue,True
RF0002673,T0002673,2026-01-09 04:01:00,duplicate,True
RF0002675,T0002675,2026-05-23 22:52:00,duplicate,True
RF0002689,T0002689,2026-04-22 15:43:00,other,True
RF0002691,T0002691,2026-06-24 07:27:00,duplicate,True
RF0002711,T0002711,2026-05-12 19:09:00,product_issue,True
RF0002726,T0002726,2026-03-10 11:52:00,duplicate,True
RF0002770,T0002770,2026-02-13 07:28:00,customer_request,True
RF0002783,T0002783,2026-01-28 02:34:00,other,True
RF0002786,T0002786,2026-07-16 19:42:00,product_issue,True
RF0002798,T0002798,2026-05-02 23:05:00,other,True
RF0002807,T0002807,2026-06-07 07:35:00,duplicate,True
RF0002849,T0002849,2026-04-09 03:18:00,product_issue,True
RF0002862,T0002862,2026-02-25 18:47:00,duplicate,True
RF0002866,T0002866,2026-06-21 05:49:00,customer_request,True
RF0002873,T0002873,2026-07-31 21:35:00,other,True
RF0002877,T0002877,2026-07-30 00:16:00,other,True
RF0002883,T0002883,2026-05-15 08:51:00,duplicate,True
RF0002886,T0002886,2026-04-25 03:47:00,customer_request,True
RF0002903,T0002903,2026-02-05 04:10:00,duplicate,True
RF0002938,T0002938,2026-02-02 09:24:00,other,True
RF0002943,T0002943,2026-06-07 02:26:00,product_issue,True
RF0002947,T0002947,2026-05-05 03:35:00,product_issue,True
RF0002953,T0002953,2026-07-09 11:50:00,duplicate,True
RF0002956,T0002956,2026-03-15 10:40:00,other,True
RF0002962,T0002962,2026-06-16 10:37:00,other,True
RF0002964,T0002964,2026-02-13 08:47:00,duplicate,True
RF0002984,T0002984,2026-03-25 20:50:00,customer_request,True
RF0003000,T0003000,2026-05-30 21:26:00,duplicate,True
RF0003004,T0003004,2026-02-16 23:09:00,customer_request,True
RF0003007,T0003007,2026-01-04 10:16:00,duplicate,True
RF0003010,T0003010,2026-03-18 22:01:00,customer_request,True
RF0003017,T0003017,2026-04-10 22:16:00,duplicate,True
RF0003023,T0003023,2026-04-27 12:21:00,duplicate,True
RF0003027,T0003027,2026-06-10 08:31:00,customer_request,True
RF0003039,T0003039,2026-01-11 20:48:00,product_issue,True
RF0003042,T0003042,2026-03-28 23:40:00,customer_request,True
RF0003058,T0003058,2026-06-23 07:10:00,customer_request,True
RF0003059,T0003059,2026-01-25 17:45:00,other,True
RF0003067,T0003067,2026-06-10 10:12:00,duplicate,True
RF0003088,T0003088,2026-01-15 12:26:00,duplicate,True
RF0003108,T0003108,2026-02-14 00:17:00,product_issue,True
RF0003117,T0003117,2026-07-04 07:39:00,customer_request,True
RF0003132,T0003132,2026-06-06 01:27:00,other,True
RF0003166,T0003166,2026-01-29 03:24:00,other,True
RF0003186,T0003186,2026-02-16 06:11:00,other,True
RF0003187,T0003187,2026-05-04 11:27:00,duplicate,True
RF0003189,T0003189,2026-04-14 05:53:00,other,True
RF0003196,T0003196,2026-02-19 21:06:00,duplicate,True
RF0003218,T0003218,2026-05-14 04:48:00,duplicate,True
RF0003223,T0003223,2026-04-14 21:10:00,other,True
RF0003224,T0003224,2026-03-18 00:36:00,product_issue,True
RF0003228,T0003228,2026-06-12 20:47:00,customer_request,True
RF0003234,T0003234,2026-05-16 13:43:00,customer_request,True
RF0003242,T0003242,2026-03-18 15:17:00,other,True
RF0003251,T0003251,2026-01-02 16:43:00,duplicate,True
RF0003258,T0003258,2026-06-21 03:25:00,other,True
RF0003262,T0003262,2026-04-29 02:18:00,customer_request,True
RF0003274,T0003274,2026-04-19 06:48:00,other,True
RF0003305,T0003305,2026-01-26 11:53:00,customer_request,True
RF0003309,T0003309,2026-05-03 16:12:00,duplicate,True
RF0003312,T0003312,2026-06-27 04:45:00,customer_request,True
RF0003332,T0003332,2026-07-15 03:14:00,other,True
RF0003349,T0003349,2026-06-06 03:50:00,customer_request,True
RF0003356,T0003356,2026-01-24 14:28:00,duplicate,True
RF0003357,T0003357,2026-04-16 05:31:00,duplicate,True
RF0003364,T0003364,2026-05-22 23:07:00,product_issue,True
RF0003371,T0003371,2026-07-13 19:38:00,product_issue,True
RF0003373,T0003373,2026-07-18 01:56:00,duplicate,True
RF0003374,T0003374,2026-02-24 10:15:00,customer_request,True
RF0003389,T0003389,2026-05-10 07:29:00,customer_request,True
RF0003392,T0003392,2026-01-22 06:33:00,customer_request,True
RF0003405,T0003405,2026-02-16 17:28:00,customer_request,True
RF0003407,T0003407,2026-03-13 21:05:00,duplicate,True
RF0003416,T0003416,2026-02-05 10:03:00,duplicate,True
RF0003418,T0003418,2026-04-26 14:25:00,other,True
RF0003421,T0003421,2026-02-14 05:17:00,duplicate,True
RF0003422,T0003422,2026-02-21 13:59:00,duplicate,True
RF0003429,T0003429,2026-06-19 18:14:00,product_issue,True
RF0003442,T0003442,2026-03-15 14:06:00,customer_request,True
RF0003451,T0003451,2026-03-22 06:41:00,product_issue,True
RF0003463,T0003463,2026-04-08 23:08:00,other,True
RF0003481,T0003481,2026-06-26 10:41:00,customer_request,True
RF0003500,T0003500,2026-05-18 19:06:00,duplicate,True
RF0003502,T0003502,2026-01-28 06:48:00,customer_request,True
RF0003518,T0003518,2026-04-01 01:42:00,product_issue,True
RF0003545,T0003545,2026-06-09 11:33:00,product_issue,True
RF0003571,T0003571,2026-05-06 22:29:00,duplicate,True
RF0003585,T0003585,2026-07-20 05:51:00,duplicate,True
RF0003599,T0003599,2026-07-04 23:36:00,other,True
RF0003606,T0003606,2026-05-03 08:40:00,customer_request,True
RF0003609,T0003609,2026-03-17 19:39:00,product_issue,True
RF0003611,T0003611,2026-01-13 08:27:00,other,True
RF0003621,T0003621,2026-03-04 09:13:00,other,True
RF0003635,T0003635,2026-07-24 05:23:00,customer_request,True
RF0003636,T0003636,2026-02-13 05:24:00,duplicate,True
RF0003671,T0003671,2026-06-21 18:45:00,duplicate,True
RF0003677,T0003677,2026-07-30 11:07:00,customer_request,True
RF0003694,T0003694,2026-05-14 10:05:00,other,True
RF0003705,T0003705,2026-05-07 13:27:00,duplicate,True
RF0003724,T0003724,2026-05-21 21:19:00,other,True
RF0003731,T0003731,2026-04-09 09:18:00,customer_request,True
RF0003738,T0003738,2026-01-22 14:26:00,customer_request,True
RF0003749,T0003749,2026-01-17 17:46:00,customer_request,True
RF0003773,T0003773,2026-02-17 03:50:00,other,True
RF0003780,T0003780,2026-02-05 04:24:00,duplicate,True
RF0003781,T0003781,2026-05-22 05:10:00,customer_request,True
RF0003811,T0003811,2026-05-08 03:09:00,customer_request,True
RF0003814,T0003814,2026-07-22 09:41:00,customer_request,True
RF0003831,T0003831,2026-03-28 17:53:00,customer_request,True
RF0003865,T0003865,2026-05-11 05:20:00,other,True
RF0003866,T0003866,2026-05-18 22:21:00,duplicate,True
RF0003869,T0003869,2026-05-05 18:25:00,product_issue,True
RF0003883,T0003883,2026-04-23 19:54:00,other,True
RF0003904,T0003904,2026-07-11 17:18:00,other,True
RF0003920,T0003920,2026-04-07 06:39:00,customer_request,True
RF0003923,T0003923,2026-02-22 19:49:00,customer_request,True
RF0003925,T0003925,2026-03-15 10:44:00,other,True
RF0003932,T0003932,2026-02-05 01:04:00,product_issue,True
RF0003950,T0003950,2026-01-28 05:49:00,customer_request,True
RF0003966,T0003966,2026-01-21 10:39:00,duplicate,True
RF0003967,T0003967,2026-05-18 13:56:00,other,True
RF0003969,T0003969,2026-03-27 00:33:00,duplicate,True
RF0003974,T0003974,2026-04-04 05:55:00,duplicate,True
RF0003980,T0003980,2026-04-26 01:28:00,duplicate,True
RF0003984,T0003984,2026-03-31 16:56:00,product_issue,True
RF0003988,T0003988,2026-01-04 12:32:00,duplicate,True
RF0003993,T0003993,2026-05-14 01:35:00,other,True
RF0003999,T0003999,2026-04-02 09:03:00,customer_request,True
RF0004007,T0004007,2026-06-11 09:52:00,duplicate,True
RF0004015,T0004015,2026-05-02 09:10:00,product_issue,True
RF0004017,T0004017,2026-03-03 03:23:00,product_issue,True
RF0004027,T0004027,2026-06-24 06:46:00,product_issue,True
RF0004030,T0004030,2026-03-28 05:04:00,product_issue,True
RF0004046,T0004046,2026-02-24 06:53:00,duplicate,True
RF0004052,T0004052,2026-03-11 19:04:00,duplicate,True
RF0004069,T0004069,2026-03-22 21:59:00,customer_request,True
RF0004091,T0004091,2026-05-18 17:08:00,customer_request,True
RF0004093,T0004093,2026-01-18 09:17:00,other,True
RF0004094,T0004094,2026-02-15 16:38:00,customer_request,True
RF0004132,T0004132,2026-01-19 14:41:00,product_issue,True
RF0004135,T0004135,2026-03-18 18:24:00,product_issue,True
RF0004136,T0004136,2026-05-14 13:09:00,product_issue,True
RF0004142,T0004142,2026-03-31 13:45:00,other,True
RF0004143,T0004143,2026-01-26 21:50:00,customer_request,True
RF0004148,T0004148,2026-04-09 07:33:00,customer_request,True
RF0004151,T0004151,2026-02-09 21:30:00,duplicate,True
RF0004157,T0004157,2026-01-04 14:04:00,other,True
RF0004160,T0004160,2026-05-24 06:12:00,duplicate,True
RF0004165,T0004165,2026-03-15 00:58:00,product_issue,True
RF0004170,T0004170,2026-07-01 15:20:00,other,True
RF0004175,T0004175,2026-04-05 15:37:00,duplicate,True
RF0004176,T0004176,2026-03-13 07:35:00,duplicate,True
RF0004177,T0004177,2026-02-27 04:05:00,other,True
RF0004185,T0004185,2026-05-07 18:53:00,duplicate,True
RF0004195,T0004195,2026-05-08 11:13:00,customer_request,True
RF0004217,T0004217,2026-06-06 20:35:00,customer_request,True
RF0004223,T0004223,2026-04-09 14:54:00,duplicate,True
RF0004229,T0004229,2026-02-19 10:50:00,other,True
RF0004270,T0004270,2026-03-20 16:14:00,product_issue,True
RF0004272,T0004272,2026-04-07 01:11:00,product_issue,True
RF0004282,T0004282,2026-04-09 10:33:00,product_issue,True
RF0004288,T0004288,2026-03-12 19:37:00,customer_request,True
RF0004302,T0004302,2026-03-05 10:59:00,product_issue,True
RF0004305,T0004305,2026-01-24 10:23:00,duplicate,True
RF0004325,T0004325,2026-04-10 11:45:00,duplicate,True
RF0004327,T0004327,2026-03-28 07:48:00,product_issue,True
RF0004331,T0004331,2026-04-27 19:49:00,other,True
RF0004332,T0004332,2026-01-09 19:27:00,product_issue,True
RF0004349,T0004349,2026-03-11 21:11:00,duplicate,True
RF0004358,T0004358,2026-03-15 12:43:00,other,True
RF0004361,T0004361,2026-02-19 06:37:00,duplicate,True
RF0004363,T0004363,2026-03-01 02:50:00,customer_request,True
RF0004401,T0004401,2026-05-30 16:46:00,duplicate,True
RF0004403,T0004403,2026-03-04 09:02:00,customer_request,True
RF0004416,T0004416,2026-05-02 07:11:00,other,True
RF0004417,T0004417,2026-05-21 03:02:00,other,True
RF0004420,T0004420,2026-04-11 18:51:00,customer_request,True
RF0004433,T0004433,2026-07-22 13:16:00,product_issue,True
RF0004443,T0004443,2026-04-12 02:48:00,duplicate,True
RF0004458,T0004458,2026-02-08 03:13:00,product_issue,True
RF0004475,T0004475,2026-02-07 21:26:00,duplicate,True
RF0004484,T0004484,2026-06-01 20:32:00,customer_request,True
RF0004501,T0004501,2026-07-07 16:00:00,duplicate,True
RF0004506,T0004506,2026-05-13 16:16:00,customer_request,True
RF0004512,T0004512,2026-06-15 10:15:00,other,True
RF0004514,T0004514,2026-06-09 01:09:00,product_issue,True
RF0004517,T0004517,2026-04-29 06:54:00,product_issue,True
RF0004524,T0004524,2026-02-02 22:41:00,other,True
RF0004527,T0004527,2026-05-27 12:32:00,duplicate,True
RF0004545,T0004545,2026-02-18 07:11:00,product_issue,True
RF0004546,T0004546,2026-07-26 09:24:00,product_issue,True
RF0004551,T0004551,2026-04-28 19:52:00,other,True
RF0004559,T0004559,2026-04-06 21:12:00,duplicate,True
RF0004562,T0004562,2026-05-27 05:15:00,customer_request,True
RF0004617,T0004617,2026-07-17 13:33:00,duplicate,True
RF0004639,T0004639,2026-04-16 19:33:00,customer_request,True
RF0004641,T0004641,2026-04-17 02:13:00,product_issue,True
RF0004647,T0004647,2026-02-14 11:37:00,product_issue,True
RF0004660,T0004660,2026-06-19 16:40:00,other,True
RF0004672,T0004672,2026-04-10 17:45:00,product_issue,True
RF0004683,T0004683,2026-03-02 04:51:00,duplicate,True
RF0004689,T0004689,2026-03-30 07:53:00,customer_request,True
RF0004692,T0004692,2026-06-08 22:21:00,duplicate,True
RF0004701,T0004701,2026-07-09 03:47:00,customer_request,True
RF0004722,T0004722,2026-03-28 11:03:00,customer_request,True
RF0004725,T0004725,2026-01-08 20:36:00,product_issue,True
RF0004739,T0004739,2026-05-22 22:23:00,duplicate,True
