device_id,device_fingerprint,first_seen_date
D00085,fp_982a2277f966d59f,2025-03-01
D00086,fp_52171c884ce953a7,2025-10-01
D00087,fp_b1fead13f280df1d,2025-04-01
D00088,fp_506e50c77aa061e9,2025-03-01
D00089,fp_65f30779f6ee5cdb,2025-06-01
D00090,fp_bc20b9f24a9c589e,2025-12-01
D00091,fp_7db2a7aaa205e54f,2025-10-01
D00092,fp_3e0f84cec82f78fd,2025-06-01
D00093,fp_47c1c01760452909,2025-07-01
D00094,fp_1d27c09a5d71a898,2025-10-01
D00095,fp_979c30cf33261887,2025-09-01
D00096,fp_ae84b81c2e0fb5b3,2025-09-01
D00097,fp_f3f81c3106e3f949,2025-12-01
D00098,fp_f166cdcf762cdfbc,2025-12-01
D00099,fp_703e957f35ab8466,2025-05-01
D00100,fp_b15da72dd4cee27c,2025-02-01
D00101,fp_d908a121d1a7ba20,2025-07-01
D00102,fp_7fd255eeac484366,2025-03-01
D00103,fp_4d8670bda2224f96,2025-04-01
D00104,fp_a89e22f240afbf3f,2025-03-01
D00105,fp_6c521d13b719bb68,2025-07-01
D00106,fp_72f6095812ef6101,2025-10-01
D00107,fp_950df1a07aaf2001,2025-07-01
D00108,fp_81b15db988cc4d49,2025-12-01
D00109,fp_8b2c550a6b15c11b,2025-01-01
D00110,fp_f7eae66eca6caf9b,2025-06-01
D00111,fp_e53f9644b39e4df2,2025-09-01
D00112,fp_a35fc9c198049562,2025-02-01
D00113,fp_c4da2c2e1bffa279,2025-04-01
D00114,fp_aa2960fda85894df,2025-06-01
D00115,fp_a5a1c8252a9528c3,2025-10-01
D00116,fp_902f34650b570720,2025-11-01
D00117,fp_a590fd3cad6ecc57,2025-07-01
D00118,fp_c0afd193f780ef2f,2025-06-01
D00119,fp_cbd5cc86f73936e9,2025-07-01
D00120,fp_02b342541b1f2eb1,2025-02-01
D00121,fp_38d5101f423cad9d,2025-09-01
D00122,fp_84cfee39bf31c29f,2025-09-01
D00123,fp_b00ac64c949cd8d4,2025-10-01
D00124,fp_721e8b1f38958939,2025-06-01
D00125,fp_768b4f7e64215e66,2025-11-01
D00126,fp_b0c07fcc96add4df,2025-09-01
D00127,fp_584fc85b2697384d,2025-01-01
D00128,fp_1ac3bf317b96e2d1,2025-05-01
D00129,fp_eba900e16a7d5d96,2025-02-01
D00130,fp_d4d13d551db6b844,2025-12-01
D00131,fp_592c11072444d301,2025-05-01
D00132,fp_7490adeb57d337d3,2025-04-01
D00133,fp_7ba109d08567c805,2025-06-01
D00134,fp_18fdd2b979e5c9aa,2025-08-01
D00135,fp_b25f13dfb8d49848,2025-08-01
D00136,fp_1132567c51a40d2a,2025-05-01
D00137,fp_cf6858780b705933,2025-12-01
D00138,fp_05c8234b1d763a66,2025-06-01
D00139,fp_1bff3142a5e15b55,2025-11-01
D00140,fp_2a131c1fccd015c1,2025-12-01
D00141,fp_84182d353e711433,2025-03-01
D00142,fp_28fea7618d49fe3f,2025-06-01
D00143,fp_6d268b378f5242d3,2025-08-01
D00144,fp_cc39b9253b5ae288,2025-07-01
D00145,fp_2f383b43a137f8e4,2025-03-01
D00146,fp_a84554c3a3f66c61,2025-07-01
D00147,fp_0779250a6544e313,2025-12-01
D00148,fp_e212ab7c9d361cb6,2025-04-01
D00149,fp_979aa0517317591a,2025-07-01
D00150,fp_0123a348638abdf6,2025-12-01
D00151,fp_34ae4abd36fce0ac,2025-05-01
D00152,fp_b4299924c0986750,2025-02-01
D00153,fp_1a0c6c0493cd1291,2025-09-01
D00154,fp_5da49cb92fdc9992,2025-06-01
D00155,fp_75220646327375bf,2025-02-01
D00156,fp_abb316a743299780,2025-08-01
D00157,fp_f7464c02871854c1,2025-11-01
D00158,fp_98d3148b503b4078,2025-07-01
D00159,fp_647dc3929c7eb575,2025-10-01
D00160,fp_591196dc1d3e503a,2025-06-01
D00161,fp_753659efd873dad9,2025-10-01
D00162,fp_d051267f2c2ac34b,2025-11-01
D00163,fp_ccf4ffb0b4bba73f,2025-05-01
D00164,fp_9d4edb71eb2ec80e,2025-10-01
D00165,fp_ac0f680115b24e1d,2025-03-01
D00166,fp_1e2c2e7d502cf0ee,2025-04-01
D00167,fp_1df05d184e2d6255,2025-03-01
D00168,fp_b1850eb85f90fc87,2025-03-01
D00169,fp_6372542482c56b21,2025-07-01
D00170,fp_234b456298af5cca,2025-10-01
D00171,fp_6c4c450b623ad0fc,2025-03-01
D00172,fp_a2b03c4b7c966b55,2025-09-01
D00173,fp_eb4e2281b184d1fc,2025-11-01
D00174,fp_fff96acfee4205ee,2025-03-01
D00175,fp_2ab7b2ef8e0ec033,2025-08-01
D00176,fp_23ea795649f1137d,2025-03-01
D00177,fp_d78c57d3508850d3,2025-08-01
D00178,fp_0db977a99e91a71c,2025-06-01
D00179,fp_02740f73f3abea0d,2025-08-01
D00180,fp_31f3f0c022f3f068,2025-07-01
D00181,fp_8fc3d7d3f6bd80c7,2025-09-01
D00182,fp_7eb6581ea72f947d,2025-07-01
D00183,fp_7de1bf5daf4847f0,2025-07-01
D00184,fp_d703262fb5cbe3f5,2025-08-01
D00185,fp_2ad11fe87d1b695e,2025-02-01
D00186,fp_07e67cb090bde900,2025-04-01
D00187,fp_085eb4894ac66780,2025-05-01
D00188,fp_89a0b7eb398f569b,2025-05-01
D00189,fp_c7de96ea2b0fbe44,2025-08-01
D00190,fp_be15ad1290ce77e9,2025-08-01
D00191,fp_82c42e488cbadae5,2025-02-01
D00192,fp_1d3ca5a4929d6377,2025-05-01
D00193,fp_8b0901abc66dceb3,2025-06-01
D00194,fp_d296a12d8ac35ac4,2025-01-01
D00195,fp_b80f16c5c28fa16b,2025-08-01
D00196,fp_37f25d368bddcee3,2025-07-01
D00197,fp_bc69c1551a37f6bd,2025-11-01
D00198,fp_3f5e3b8cc0582da5,2025-05-01
D00199,fp_ffd2f491dff389aa,2025-01-01
D00200,fp_4347dbca7321a8b2,2025-06-01
D00201,fp_d1151fffdcb91d5f,2025-02-01
D00202,fp_dd83ad037066e289,2025-02-01
D00203,fp_cfd7f3b9c68fcba5,2025-04-01
D00204,fp_cf8a368e35ba9357,2025-12-01
D00205,fp_b06b0f0c96822e22,2025-06-01
D00206,fp_b5f3f8aadc6dafff,2025-10-01
D00207,fp_6d9c5b50a1fd4187,2025-03-01
D00208,fp_23a4e70e9dbc15c0,2025-04-01
D00209,fp_34fa32b6d0437e4c,2025-01-01
D00210,fp_59cf0b0d91f0647d,2025-09-01
D00211,fp_98cbaa5247f53019,2025-09-01
D00212,fp_52daf6812b1ac76c,2025-12-01
D00213,fp_4a11be444aea1b8f,2025-10-01
D00214,fp_f3d04ffb44709848,2025-09-01
D00215,fp_e67093a0fc48f615,2025-11-01
D00216,fp_1860ad28d0afb235,2025-03-01
D00217,fp_c0062b5bf67839b2,2025-07-01
D00218,fp_0f2d5c15eb346d3a,2025-05-01
D00219,fp_a7e8d18eddf6d4ac,2025-03-01
D00220,fp_ddb7570eb390b059,2025-03-01
D00221,fp_257035db3fead90a,2025-12-01
D00222,fp_d41762305274ee11,2025-04-01
D00223,fp_d7f34368c2efeecb,2025-11-01
D00224,fp_7d4d2add64880945,2025-03-01
D00225,fp_a1e518a293d228d4,2025-05-01
D00226,fp_6a0aa7d5a0b85755,2025-07-01
D00227,fp_135508d073b5bad5,2025-11-01
D00228,fp_e14fe093cb6ad0c7,2025-02-01
D00229,fp_83ff3e9667213a70,2025-12-01
D00230,fp_b1d818874739cc7b,2025-06-01
D00231,fp_f343d9eb7466ef02,2025-08-01
D00232,fp_94fb09f053c93ae7,2025-01-01
D00233,fp_c62dbaeade70bd30,2025-12-01
D00234,fp_bb1e5ae817d821b8,2025-08-01
D00235,fp_aa055442a284e8fd,2025-12-01
D00236,fp_d9a090075bb47c18,2025-02-01
D00237,fp_88d00abdcbb18c79,2025-07-01
D00238,fp_f7d7465d37c3b3c9,2025-07-01
D00239,fp_363be5cbd3293724,2025-08-01
D00240,fp_52a74a4144bed486,2025-05-01
D00241,fp_8c1c8b0556771f36,2025-10-01
D00242,fp_90eeb067216e9fe5,2025-08-01
D00243,fp_57ff51d9c9ce44bd,2025-11-01
D00244,fp_0c648ca2c3231466,2025-01-01
D00245,fp_a04d4d14197dbae1,2025-08-01
D00246,fp_1fce01e3042b03ca,2025-03-01
D00247,fp_74de5f7070f81dba,2025-01-01
D00248,fp_f54191eafde91c42,2025-07-01
D00249,fp_fee5ce6933cb202e,2025-12-01
D00250,fp_21c50e41e8cee951,2025-11-01
D00251,fp_28b2bf214d470ed6,2025-05-01
D00252,fp_a79313b817e52113,2025-06-01
D00253,fp_1519830c40198303,2025-06-01
D00254,fp_e75f745aaa1d3fc6,2025-11-01
D00255,fp_0d41ee472a5fda18,2025-07-01
D00256,fp_4e35da80a0279a18,2025-12-01
D00257,fp_c156e501b30e96e8,2025-04-01
D00258,fp_a7cde1436de21429,2025-02-01
D00259,fp_185df528b4258e19,2025-01-01
D00260,fp_7a10013f36a2c52b,2025-02-01
D00261,fp_97fb613a21f89d06,2025-04-01
D00262,fp_ae13591e84fa4c72,2025-08-01
D00263,fp_021063710260a123,2025-12-01
D00264,fp_d12e0eb557f479b5,2025-02-01
D00265,fp_dc3f42e0fcf7b842,2025-07-01
D00266,fp_21d63b0fb1ac040d,2025-08-01
D00267,fp_3a9c43081221cddf,2025-07-01
D00268,fp_bb134f0216de66c9,2025-02-01
D00269,fp_5037cd6b1a6b6a7d,2025-06-01
D00270,fp_4c9bff5ce1887eaf,2025-03-01
D00271,fp_c601818b61fa01ba,2025-03-01
D00272,fp_fe31537aa43e558c,2025-11-01
D00273,fp_11836c4f249204c7,2025-09-01
D00274,fp_022b66839033da65,2025-10-01
D00275,fp_2a038ad4a667b982,2025-08-01
D00276,fp_b8f14e3c59e7703a,2025-04-01
D00277,fp_bf8e8bfaa0c9da72,2025-03-01
D00278,fp_6965d1d1eb7e2e64,2025-10-01
D00279,fp_714011a1afc2ccfc,2025-04-01
D00280,fp_e5871d8916312fc6,2025-02-01
D00281,fp_c0a0473a23d7e6a1,2025-02-01
D00282,fp_bae1e13796ee50e5,2025-07-01
D00283,fp_f69777a159fe3d53,2025-07-01
D00284,fp_ca84000350834fef,2025-03-01
D00285,fp_46e75a2c3f6eed9d,2025-11-01
D00286,fp_3f87dfc2159152f2,2025-09-01
D00287,fp_999a1d8699db1302,2025-12-01
D00288,fp_48f091f09b8b38ae,2025-12-01
D00289,fp_d90f74e906ddf6ca,2025-11-01
D00290,fp_4d38e415e03635fc,2025-04-01
D00291,fp_9b5f8f39848b34f0,2025-09-01
D00292,fp_bf72ae52304b2370,2025-07-01
D00293,fp_a56b61e04ba8a4ca,2025-01-01
D00294,fp_e5dd98f1c8a738ab,2025-04-01
D00295,fp_62c965b27eb0f62a,2025-02-01
D00296,fp_7fe4a42e3db788a6,2025-11-01
D00297,fp_122dd7be980bc81e,2025-09-01
D00298,fp_fa4a58efe3837348,2025-01-01
D00299,fp_5c70ee97fca45567,2025-06-01
D00300,fp_6307d4d121c9a15d,2025-10-01
D00301,fp_5d8babd76bbdb66f,2025-09-01
D00302,fp_2c3aacdcaed54a46,2025-08-01
D00303,fp_fcc4091bf45707c6,2025-02-01
D00304,fp_965d744f0445c1a8,2025-02-01
D00305,fp_431e930f0387f74d,2025-04-01
D00306,fp_ec2e28150a3217d2,2025-01-01
D00307,fp_ca0ee8c4f2dcb12b,2025-07-01
D00308,fp_495743a281b13b80,2025-11-01
D00309,fp_8044beb2b66edbf4,2025-07-01
D00310,fp_b3a9dcaa6c6f6d2e,2025-07-01
D00311,fp_a3fa40691519fd38,2025-09-01
D00312,fp_9db5428389a3c811,2025-03-01
D00313,fp_15669e364708203b,2025-05-01
D00314,fp_82e4dd4a143ac1c5,2025-04-01
D00315,fp_cedd069df96c9a0a,2025-03-01
D00316,fp_53a5e8508950ddd6,2025-07-01
D00317,fp_a2611b8d9620bee6,2025-11-01
D00318,fp_a4a5c736ae59aa52,2025-02-01
D00319,fp_b2dc6c344f67448e,2025-07-01
D00320,fp_f413db19bade8d5d,2025-04-01
D00321,fp_3e9639ba0ed2ec9d,2025-02-01
D00322,fp_6f3a5115ecb4678c,2025-02-01
D00323,fp_9cbf7b8c74102d5d,2025-10-01
D00324,fp_4f2da2330e165b12,2025-11-01
D00325,fp_a8761e85bddfa03a,2025-12-01
D00326,fp_1e93d1272cf72140,2025-01-01
D00327,fp_23204ff5b538f96c,2025-12-01
D00328,fp_29f0ef7c02e7df89,2025-08-01
D00329,fp_58c1aad6f3f8dea4,2025-09-01
D00330,fp_c871d7b38468b74d,2025-12-01
D00331,fp_2abe1585425e0259,2025-06-01
D00332,fp_bff15840207e863f,2025-05-01
D00333,fp_e2ec13f4bba1aed9,2025-02-01
D00334,fp_e65fad87c57c7498,2025-01-01
D00335,fp_ce9e9ebd55c34853,2025-07-01
D00336,fp_861b4f5b45a08539,2025-02-01
D00337,fp_b65ad0f14350ab06,2025-10-01
D00338,fp_13badc91a0a5fde6,2025-08-01
D00339,fp_82c299f07487d772,2025-06-01
D00340,fp_7fe670f30e3141ec,2025-10-01
D00341,fp_5e20c9572ab8bd33,2025-03-01
D00342,fp_c5f8e2f8414f4994,2025-02-01
D00343,fp_92ebeab0e4eec67c,2025-11-01
D00344,fp_1d8680cbb90800f3,2025-04-01
D00345,fp_82425912bda3c162,2025-01-01
D00346,fp_dbd30aec0b461173,2025-01-01
D00347,fp_0bc572073e9aec86,2025-08-01
D00348,fp_620af1585d2d904f,2025-03-01
D00349,fp_ee6081ac2dd0622e,2025-01-01
D00350,fp_cd98f9e28d888beb,2025-12-01
D00351,fp_a7dc2bc0bd9c4693,2025-07-01
D00352,fp_52619dec3979d5f5,2025-04-01
D00353,fp_ea75752d6a8fcacb,2025-12-01
D00354,fp_4571295951e744e4,2025-02-01
D00355,fp_5f705b2592502e59,2025-02-01
D00356,fp_ac5f12ef8085c147,2025-01-01
D00357,fp_3922a7e42de982f8,2025-09-01
D00358,fp_0bc1f9e5fb3df063,2025-07-01
D00359,fp_e0827f7611a529b4,2025-08-01
D00360,fp_48454343ddb449dc,2025-05-01
D00361,fp_161d5c8753c9fe59,2025-09-01
D00362,fp_020a449774ed5145,2025-06-01
D00363,fp_4aa5f9d3335f2f59,2025-10-01
D00364,fp_4dcd0009c8d57717,2025-12-01
D00365,fp_3e19fc1d9f6a6a65,2025-08-01
D00366,fp_97790e845e472e22,2025-08-01
D00367,fp_c5c9fb91ff6ef9ed,2025-04-01
D00368,fp_e68373a3bb82b796,2025-09-01
D00369,fp_cbc4ec0ec2aef674,2025-04-01
D00370,fp_01a1fb0f268b84b6,2025-07-01
D00371,fp_3ba5bd76061efb95,2025-09-01
D00372,fp_a2cd159058af393c,2025-12-01
D00373,fp_0274ce40e09016b6,2025-06-01
D00374,fp_c2492e5e005fd0e6,2025-11-01
D00375,fp_d95874c260538c1b,2025-12-01
D00376,fp_4eb9047dba2ac3d9,2025-02-01
D00377,fp_87a1ec0234879e41,2025-04-01
D00378,fp_7df59abf6b790d01,2025-01-01
D00379,fp_ff38b918f8f9a45d,2025-03-01
D00380,fp_47a2a10bb62edb49,2025-02-01
D00381,fp_ebd8a3b10b3d0c36,2025-04-01
D00382,fp_d872f72ee5b4a1ae,2025-09-01
D00383,fp_b36ab3ed69be173a,2025-06-01
D00384,fp_f97c6c3c755d814b,2025-12-01
D00385,fp_94ad625215bc2a3e,2025-02-01
D00386,fp_222df6a48163b6ce,2025-11-01
D00387,fp_64f434d6d1e91691,2025-02-01
D00388,fp_915cb31b97867b12,2025-01-01
D00389,fp_a995ecc36f5b09a6,2025-03-01
D00390,fp_4aab47b23c9d128a,2025-05-01
D00391,fp_50a46c85d9d57b02,2025-07-01
D00392,fp_d4f76322b362c0d2,2025-12-01
D00393,fp_516c3b0a53853918,2025-08-01
D00394,fp_3bcdf203459ee674,2025-02-01
D00395,fp_33e4f986f18cccdc,2025-03-01
D00396,fp_c5285425c7a9f33c,2025-10-01
D00397,fp_27c8fc6c1be5a4c3,2025-02-01
D00398,fp_7316ce642a147a96,2025-08-01
D00399,fp_681134e250647c59,2025-02-01
D00400,fp_5bb8b9c8893259f3,2025-04-01
D00401,fp_4eed412473b0d676,2025-08-01
D00402,fp_da3c45ca43d78f2b,2025-02-01
D00403,fp_28597b341725d2c7,2025-11-01
D00404,fp_d38e13e44de1087b,2025-12-01
D00405,fp_9a72083cb266986c,2025-01-01
D00406,fp_d5ff2a1f370b9a29,2025-06-01
D00407,fp_1759ba9625f88c74,2025-12-01
D00408,fp_f7e9101d3f8b4433,2025-06-01
D00409,fp_837217e0657046ea,2025-01-01
D00410,fp_4c80d33aad5be3c8,2025-05-01
D00411,fp_fd9cfbb0d1f16485,2025-03-01
D00412,fp_f3bc9a7107f4fee5,2025-07-01
D00413,fp_73c374a6dac726b6,2025-09-01
D00414,fp_8cd4b90abf8211bc,2025-04-01
D00415,fp_7648776e183fea70,2025-02-01
D00416,fp_cb371d97cdcc2d6a,2025-03-01
D00417,fp_030f9be91f178f93,2025-01-01
D00418,fp_c7ecfe71d49347fc,2025-04-01
D00419,fp_32b8d8aa21768dd7,2025-07-01
D00420,fp_afb064065f4b1a97,2025-11-01
D00421,fp_a50a13dcf004e897,2025-02-01
D00422,fp_960be0f495132c22,2025-05-01
D00423,fp_d010318aeadc9960,2025-02-01
D00424,fp_ff45f8a20594b24f,2025-02-01
D00425,fp_e709fba6329fc417,2025-11-01
D00426,fp_cf2e32967184b713,2025-03-01
D00427,fp_e7b33085178be968,2025-06-01
D00428,fp_0aee25571f5df912,2025-08-01
D00429,fp_2b0157230cf697a5,2025-10-01
D00430,fp_d259f9606ee35607,2025-12-01
D00431,fp_7f0223bc651ea252,2025-01-01
D00432,fp_aee70ab261fa8e7a,2025-07-01
D00433,fp_5a9c06792c3d17e2,2025-04-01
D00434,fp_2fe922aae886a011,2025-05-01
D00435,fp_722dce1347a48c42,2025-03-01
D00436,fp_9d3616a108dec921,2025-10-01
D00437,fp_3eebc04a9df2372e,2025-11-01
D00438,fp_7fb75c574b8c031f,2025-07-01
D00439,fp_8cf9eea9e1fdc6d1,2025-08-01
D00440,fp_1674eb650f9c5300,2025-05-01
D00441,fp_2321e64e620d4a1f,2025-07-01
D00442,fp_a484e035330faaa3,2025-09-01
D00443,fp_a1791e933fc825ac,2025-09-01
D00444,fp_04ffeab2cb7b0b3a,2025-07-01
D00445,fp_b69f75c5c82ba1be,2025-06-01
D00446,fp_8b6584ce7acc9970,2025-08-01
D00447,fp_e9a5336858129eb2,2025-10-01
D00448,fp_5254aad3809cd839,2025-07-01
D00449,fp_2e0869c1453b45fe,2025-01-01
D00450,fp_98dc9e0b51a1f5df,2025-04-01
D00451,fp_e550d73607806e71,2025-05-01
D00452,fp_cf03f0c80effd5bd,2025-08-01
D00453,fp_5b80b8d18788dfed,2025-10-01
D00454,fp_3b964c74ffe62994,2025-03-01
D00455,fp_3f738f5019a2676f,2025-11-01
D00456,fp_443b1d0f3dbc3093,2025-09-01
D00457,fp_ca8e858cd0f81063,2025-12-01
D00458,fp_c398c3320e500785,2025-04-01
D00459,fp_d8b48ead93608edf,2025-07-01
D00460,fp_ef69a9805ad479ef,2025-03-01
D00461,fp_3c8e9d782d14e9f4,2025-10-01
D00462,fp_ce63cb1a5168bbf2,2025-12-01
D00463,fp_5bd93609b297a782,2025-10-01
D00464,fp_b4157cea07388ba4,2025-12-01
D00465,fp_f29335855a07d758,2025-10-01
D00466,fp_2460d0d2904883c1,2025-10-01
D00467,fp_303014d0f2c84743,2025-08-01
D00468,fp_4f1e1a378ac8ad93,2025-03-01
D00469,fp_09b7fdf77d8d3ddd,2025-02-01
D00470,fp_3b8d34470e61065f,2025-10-01
D00471,fp_051a00393803dcee,2025-09-01
D00472,fp_002ccb257a5d7c82,2025-06-01
D00473,fp_9d37efb6eafb3e90,2025-04-01
D00474,fp_2167c35ece7334f2,2025-06-01
D00475,fp_2d6e0291b7893986,2025-06-01
D00476,fp_059c15740f3f0f48,2025-03-01
D00477,fp_b466fab6962c04dd,2025-03-01
D00478,fp_1c654aa2c63ce21d,2025-09-01
D00479,fp_5d696bc8dc54d59b,2025-02-01
D00480,fp_b45c9a545fa3a531,2025-11-01
D00481,fp_960530356545c030,2025-02-01
D00482,fp_4d407b285628ddcd,2025-06-01
D00483,fp_f9d2014a22ee7f07,2025-03-01
D00484,fp_f2dd9456bb7b6c05,2025-07-01
D00485,fp_a3a6ef83cab63107,2025-08-01
D00486,fp_51397c06a630ad9d,2025-03-01
D00487,fp_f7ff88d4b509f08a,2025-09-01
D00488,fp_e3bcd6f3b18d2c8c,2025-10-01
D00489,fp_5b58eb49c9784b52,2025-04-01
D00490,fp_96c56fe7aa604892,2025-03-01
D00491,fp_4e8bf78a60ddc7f1,2025-12-01
D00492,fp_4b657bccb0416f19,2025-03-01
D00493,fp_ba94aa662d7e4a45,2025-01-01
D00494,fp_b3b6d344f2e3c6f0,2025-10-01
D00495,fp_d9cb3540643ffdae,2025-10-01
D00496,fp_2e9ce8ff084a3c4b,2025-10-01
D00497,fp_ebc929145176a9d1,2025-10-01
D00498,fp_a3bfe403388c9751,2025-10-01
D00499,fp_efcac5771aa6f7cb,2025-08-01
D00500,fp_54c7743b2401342a,2025-12-01
D00501,fp_3ced4d1f13eb22c9,2025-06-01
D00502,fp_51cbf9e5fb7d3ba1,2025-03-01
D00503,fp_e2a45909a2dd22d5,2025-02-01
D00504,fp_b57ec883d2586d90,2025-11-01
D00505,fp_bab27bcea39c3bd5,2025-06-01
D00506,fp_02ead2df725656e3,2025-05-01
D00507,fp_3fe1e8f335adde88,2025-12-01
D00508,fp_59b9222c115affac,2025-05-01
D00509,fp_1ba827c6c97a24ad,2025-12-01
D00510,fp_0c53644b0053f649,2025-07-01
D00511,fp_bb8aa843702f31e5,2025-07-01
D00512,fp_2a9527f6f8170ebf,2025-07-01
D00513,fp_e1bbb8cd7e3a9f07,2025-07-01
D00514,fp_8bc83a0259ea4936,2025-07-01
D00515,fp_d42cb1ae19f738cb,2025-08-01
D00516,fp_dd326d9cc9ea356a,2025-10-01
D00517,fp_c21c3fb3a6a5f0ff,2025-11-01
D00518,fp_29a3db6d39bfca38,2025-08-01
D00519,fp_cc9803de12de9e5a,2025-01-01
D00520,fp_0523d4fd4b7f2183,2025-06-01
D00521,fp_f3a0212042d943ee,2025-02-01
D00522,fp_5780be1712fecc2b,2025-03-01
D00523,fp_601e0211e34f76b4,2025-03-01
D00524,fp_13335bc9bb635ff5,2025-09-01
D00525,fp_e5eb772df11c0ac5,2025-02-01
D00526,fp_981262ac5683ede0,2025-10-01
D00527,fp_7b94a34de4aa786d,2025-12-01
D00528,fp_6e6b34b907ef2ba8,2025-11-01
D00529,fp_9b792afa2a3d418d,2025-07-01
D00530,fp_0db5d4412837f418,2025-02-01
D00531,fp_349ef4a954c29d5c,2025-04-01
D00532,fp_b27b7bb468c690b2,2025-09-01
D00533,fp_ecf26429b8d77d2f,2025-12-01
D00534,fp_43e8644b8a45a905,2025-11-01
D00535,fp_4c2272f34811e562,2025-04-01
D00536,fp_0cb4e891188df23b,2025-07-01
D00537,fp_8cb6b0ba925f8199,2025-08-01
D00538,fp_0df407b82751ab86,2025-06-01
D00539,fp_6d77959500fa0eb4,2025-02-01
D00540,fp_d2eaef184b6797a1,2025-11-01
D00541,fp_99a7b99ba005f5e1,2025-08-01
D00542,fp_18d42238331de35c,2025-01-01
